Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/8/2023 0:09,24e124725c065829,22.4,48.5,445,50,31 days ago,-54,9.25,922800000,2
1/8/2023 0:19,24e124725c065829,22.3,47.5,458,50,31 days ago,-56,6,922600000,2
1/8/2023 0:39,24e124725c065829,22.4,46,429,50,31 days ago,-57,6.75,922400000,2
1/8/2023 0:49,24e124725c065829,22.4,45.5,454,50,31 days ago,-56,10.5,922600000,2
1/8/2023 0:59,24e124725c065829,22.2,43.5,450,50,31 days ago,-56,8,923200000,2
1/8/2023 1:09,24e124725c065829,22.3,45,459,50,31 days ago,-56,9.5,923200000,2
1/8/2023 1:19,24e124725c065829,22.4,42,463,50,31 days ago,-56,8.25,923200000,2
1/8/2023 1:29,24e124725c065829,22.2,41.5,455,50,31 days ago,-56,7.5,923200000,2
1/8/2023 1:39,24e124725c065829,22.3,41.5,447,50,31 days ago,-55,7.5,922400000,2
1/8/2023 1:49,24e124725c065829,22.3,41.5,457,50,31 days ago,-55,9,922600000,2
1/8/2023 1:59,24e124725c065829,22.2,42,448,50,31 days ago,-56,7,922000000,2
1/8/2023 2:09,24e124725c065829,22.3,41.5,458,50,31 days ago,-56,7.75,922800000,2
1/8/2023 2:19,24e124725c065829,22.3,41.5,453,50,31 days ago,-56,7.5,922600000,2
1/8/2023 2:29,24e124725c065829,22.4,40,470,50,31 days ago,-55,8.25,923200000,2
1/8/2023 2:39,24e124725c065829,22.3,42,461,50,31 days ago,-56,9.5,922200000,2
1/8/2023 2:49,24e124725c065829,22.4,42,464,50,31 days ago,-57,9.25,922400000,2
1/8/2023 2:59,24e124725c065829,22.3,40.5,462,50,31 days ago,-56,7.75,923200000,2
1/8/2023 3:09,24e124725c065829,22.4,41.5,474,50,31 days ago,-55,4.75,922000000,2
1/8/2023 3:19,24e124725c065829,22.3,39.5,471,50,31 days ago,-56,7.5,923200000,2
1/8/2023 3:29,24e124725c065829,22.3,39,457,50,31 days ago,-56,11.5,922600000,2
1/8/2023 3:39,24e124725c065829,22.3,39.5,466,50,31 days ago,-57,8.75,923400000,2
1/8/2023 3:49,24e124725c065829,22.3,41,465,50,31 days ago,-56,9.75,922200000,2
1/8/2023 3:59,24e124725c065829,22.3,41.5,473,50,31 days ago,-55,9,922200000,2
1/8/2023 4:09,24e124725c065829,22.2,40.5,465,50,31 days ago,-55,10.5,922800000,2
1/8/2023 4:19,24e124725c065829,22.3,39,463,50,31 days ago,-56,7.75,922800000,2
1/8/2023 4:29,24e124725c065829,22.2,40,473,50,31 days ago,-56,10.5,922200000,2
1/8/2023 4:39,24e124725c065829,22.2,40.5,472,50,31 days ago,-54,8.75,922800000,2
1/8/2023 4:49,24e124725c065829,22.3,40.5,467,50,31 days ago,-56,9.75,922600000,2
