Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/2/2023 0:02,24e124725c065829,20.8,41,457,74,177 days ago,-63,7.25,922400000,2
1/2/2023 0:12,24e124725c065829,20.8,52,469,74,177 days ago,-63,8.25,922200000,2
1/2/2023 0:22,24e124725c065829,21,54.5,453,74,177 days ago,-66,9.25,922200000,2
1/2/2023 0:32,24e124725c065829,21,41.5,459,74,177 days ago,-65,7.75,922200000,2
1/2/2023 0:42,24e124725c065829,20.8,44,457,74,177 days ago,-60,9,922800000,2
1/2/2023 0:52,24e124725c065829,21,54.5,465,74,177 days ago,-63,8.75,922800000,2
1/2/2023 1:02,24e124725c065829,21.1,44,465,74,176 days ago,-60,9.5,923200000,2
1/2/2023 1:12,24e124725c065829,20.8,40,473,74,176 days ago,-65,7.75,922400000,2
1/2/2023 1:22,24e124725c065829,20.9,50.5,459,74,176 days ago,-62,7.5,922600000,2
1/2/2023 1:32,24e124725c065829,21.1,56,466,74,176 days ago,-62,11.25,923400000,2
1/2/2023 1:42,24e124725c065829,21.1,44,458,74,176 days ago,-65,6.5,922000000,2
1/2/2023 1:52,24e124725c065829,20.8,42,458,74,176 days ago,-63,5.75,922000000,2
1/2/2023 2:02,24e124725c065829,21,54.5,459,74,176 days ago,-63,6.75,922000000,2
1/2/2023 2:12,24e124725c065829,21.2,44.5,464,74,176 days ago,-62,8.25,922600000,2
1/2/2023 2:22,24e124725c065829,20.8,40,457,74,176 days ago,-58,8.5,923200000,2
1/2/2023 2:32,24e124725c065829,20.8,49,457,74,176 days ago,-62,8,922200000,2
1/2/2023 2:42,24e124725c065829,20.9,55,463,74,176 days ago,-65,9.75,922400000,2
1/2/2023 2:52,24e124725c065829,21,44,461,74,176 days ago,-59,8.75,923200000,2
1/2/2023 3:02,24e124725c065829,20.9,39.5,462,74,176 days ago,-65,8.25,922400000,2
1/2/2023 3:12,24e124725c065829,20.8,50,453,74,176 days ago,-62,8,922200000,2
1/2/2023 3:22,24e124725c065829,21.1,51,470,74,176 days ago,-63,11,923200000,2
1/2/2023 3:32,24e124725c065829,21,42,465,74,176 days ago,-66,8.75,922200000,2
1/2/2023 3:42,24e124725c065829,20.8,39,463,74,176 days ago,-67,9.5,923400000,2
1/2/2023 3:52,24e124725c065829,20.7,50,468,74,176 days ago,-66,10.75,922200000,2
1/2/2023 4:02,24e124725c065829,21.1,51.5,464,74,176 days ago,-71,8,922200000,2
1/2/2023 4:12,24e124725c065829,21,42.5,471,74,176 days ago,-62,10,923200000,2
1/2/2023 4:22,24e124725c065829,20.8,40.5,473,74,176 days ago,-60,9.25,922600000,2
1/2/2023 4:32,24e124725c065829,20.9,54,466,74,176 days ago,-59,11,923200000,2
1/2/2023 4:42,24e124725c065829,21.1,52.5,465,74,176 days ago,-66,9.5,922200000,2
1/2/2023 4:52,24e124725c065829,21,42.5,474,74,176 days ago,-66,6.75,922000000,2
1/2/2023 5:02,24e124725c065829,20.8,39.5,476,74,176 days ago,-62,10,923400000,2
1/2/2023 5:12,24e124725c065829,20.7,49.5,473,74,176 days ago,-63,7.5,922600000,2
1/2/2023 5:22,24e124725c065829,21,54,475,74,176 days ago,-67,10.75,922400000,2
1/2/2023 5:32,24e124725c065829,21,44.5,468,74,176 days ago,-61,10.5,923200000,2
1/2/2023 5:42,24e124725c065829,20.8,39.5,472,74,176 days ago,-60,10,923200000,2
1/2/2023 5:52,24e124725c065829,20.9,54,469,74,176 days ago,-62,10.5,922800000,2
1/2/2023 6:02,24e124725c065829,21.2,50.5,476,74,176 days ago,-63,7.75,922200000,2
1/2/2023 6:12,24e124725c065829,21,42.5,484,74,176 days ago,-62,7,922600000,2
1/2/2023 6:22,24e124725c065829,20.9,39.5,477,74,176 days ago,-61,10.25,922800000,2
