Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/1/2023 0:06,24e124725c065829,21.2,48,452,77,208 days ago,-53,9.75,922800000,2
1/1/2023 0:16,24e124725c065829,21.2,45.5,459,77,208 days ago,-52,8.75,923200000,2
1/1/2023 0:26,24e124725c065829,21.2,49.5,456,77,208 days ago,-55,10,922800000,2
1/1/2023 0:36,24e124725c065829,21.2,49.5,463,77,208 days ago,-57,7.5,922400000,2
1/1/2023 0:46,24e124725c065829,21.3,50,463,77,208 days ago,-55,7,922000000,2
1/1/2023 0:56,24e124725c065829,21.2,50.5,470,77,208 days ago,-54,6.75,922000000,2
1/1/2023 1:06,24e124725c065829,21.2,48.5,467,77,207 days ago,-53,8.5,922600000,2
1/1/2023 1:16,24e124725c065829,21.3,49.5,464,77,207 days ago,-56,7,922000000,2
1/1/2023 1:26,24e124725c065829,21.1,49.5,460,77,207 days ago,-56,7.25,922000000,2
1/1/2023 1:36,24e124725c065829,21.3,48.5,459,77,207 days ago,-56,10.75,923400000,2
1/1/2023 1:46,24e124725c065829,21.1,49,467,77,207 days ago,-55,7.25,922000000,2
1/1/2023 1:56,24e124725c065829,21.1,49,458,77,207 days ago,-56,10.5,922200000,2
1/1/2023 2:06,24e124725c065829,21.2,50,455,77,207 days ago,-53,9.25,922600000,2
1/1/2023 2:16,24e124725c065829,21.2,49.5,467,77,207 days ago,-57,7.25,922000000,2
1/1/2023 2:26,24e124725c065829,21.3,48,454,77,207 days ago,-55,8.75,923400000,2
1/1/2023 2:36,24e124725c065829,21.1,49,454,77,207 days ago,-54,8.75,922800000,2
1/1/2023 2:46,24e124725c065829,21.1,49.5,448,77,207 days ago,-54,9.25,923400000,2
1/1/2023 2:56,24e124725c065829,21.3,48.5,460,77,207 days ago,-55,9.75,922800000,2
1/1/2023 3:06,24e124725c065829,21.3,49.5,444,77,207 days ago,-55,10.25,923400000,2
1/1/2023 3:16,24e124725c065829,21.2,48.5,444,77,207 days ago,-55,7.5,922400000,2
1/1/2023 3:26,24e124725c065829,21.2,48.5,450,77,207 days ago,-53,8.25,923400000,2
1/1/2023 3:36,24e124725c065829,21.4,49.5,443,77,207 days ago,-53,9.5,922800000,2
1/1/2023 3:46,24e124725c065829,21.3,49,448,77,207 days ago,-56,9.75,922200000,2
1/1/2023 3:56,24e124725c065829,21.2,49.5,455,77,207 days ago,-55,9.5,923200000,2
1/1/2023 4:06,24e124725c065829,21.3,47.5,453,77,207 days ago,-56,10,922200000,2
1/1/2023 4:16,24e124725c065829,21.3,45.5,447,77,207 days ago,-56,9.75,922200000,2
1/1/2023 4:26,24e124725c065829,21.4,46,457,77,207 days ago,-56,9.75,922800000,2
1/1/2023 4:36,24e124725c065829,21.3,44,457,77,207 days ago,-54,8.75,922800000,2
