Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/6/2023 0:18,24e124725c065829,22.2,45,473,57,57 days ago,-55,9.5,923400000,2
1/6/2023 0:28,24e124725c065829,22.3,43.5,463,57,57 days ago,-55,10.25,922200000,2
1/6/2023 0:38,24e124725c065829,22.2,41,464,57,57 days ago,-54,10.25,922600000,2
1/6/2023 0:48,24e124725c065829,22.4,42.5,452,57,57 days ago,-54,7,922000000,2
1/6/2023 0:58,24e124725c065829,22.4,43.5,471,57,56 days ago,-55,10,922600000,2
1/6/2023 1:08,24e124725c065829,22.4,44,457,57,56 days ago,-51,8,923200000,2
1/6/2023 1:18,24e124725c065829,22.5,44,464,57,56 days ago,-55,10.75,922600000,2
1/6/2023 1:28,24e124725c065829,22.5,46,459,57,56 days ago,-53,8.75,923400000,2
1/6/2023 1:38,24e124725c065829,22.3,42.5,456,57,56 days ago,-54,7.25,922000000,2
1/6/2023 1:48,24e124725c065829,22.4,43.5,456,57,56 days ago,-56,10.5,922400000,2
1/6/2023 1:58,24e124725c065829,22.4,42,451,57,56 days ago,-55,10.25,922600000,2
1/6/2023 2:08,24e124725c065829,22.3,40.5,450,57,56 days ago,-55,10.25,922200000,2
1/6/2023 2:18,24e124725c065829,22.3,43,448,57,56 days ago,-55,10,923400000,2
1/6/2023 2:28,24e124725c065829,22.3,42.5,456,57,56 days ago,-56,9.75,922400000,2
1/6/2023 2:38,24e124725c065829,22.4,47.5,451,57,56 days ago,-55,10.5,922200000,2
1/6/2023 2:48,24e124725c065829,22.4,47,450,57,56 days ago,-53,10,922800000,2
1/6/2023 2:58,24e124725c065829,22.4,44.5,447,57,56 days ago,-52,9,922800000,2
1/6/2023 3:08,24e124725c065829,22.3,44.5,438,57,56 days ago,-53,8.75,923400000,2
1/6/2023 3:18,24e124725c065829,22.4,43,444,57,56 days ago,-53,10,923400000,2
1/6/2023 3:28,24e124725c065829,22.3,43,445,57,56 days ago,-52,10.5,923200000,2
1/6/2023 3:38,24e124725c065829,22.4,44.5,440,57,56 days ago,-53,7.25,922000000,2
1/6/2023 3:48,24e124725c065829,22.3,44,426,57,56 days ago,-62,8.75,922400000,2
1/6/2023 3:58,24e124725c065829,22.4,44,438,57,56 days ago,-55,8,922000000,2
1/6/2023 4:08,24e124725c065829,22.3,45,447,57,56 days ago,-53,9,923400000,2
1/6/2023 4:18,24e124725c065829,22.4,41,442,57,56 days ago,-55,10.5,922200000,2
1/6/2023 4:28,24e124725c065829,22.4,40,429,57,56 days ago,-54,7.75,922000000,2
1/6/2023 4:38,24e124725c065829,22.5,41.5,444,57,56 days ago,-55,11.25,922600000,2
1/6/2023 4:48,24e124725c065829,22.2,40,438,57,56 days ago,-55,6.75,922000000,2
1/6/2023 4:58,24e124725c065829,22.3,39.5,441,57,56 days ago,-54,10,922600000,2
1/6/2023 5:08,24e124725c065829,22.1,41,439,57,56 days ago,-54,9.25,922800000,2
1/6/2023 5:18,24e124725c065829,22.3,39.5,454,57,56 days ago,-54,10.25,922400000,2
1/6/2023 5:28,24e124725c065829,22.3,39.5,435,57,56 days ago,-53,7.25,922000000,2
1/6/2023 5:38,24e124725c065829,22.3,44,445,57,56 days ago,-55,8.75,923400000,2
1/6/2023 5:48,24e124725c065829,22.3,45.5,442,57,56 days ago,-53,9.75,923200000,2
1/6/2023 5:58,24e124725c065829,22.3,48,435,57,56 days ago,-54,8.75,923200000,2
1/6/2023 6:08,24e124725c065829,22.3,49.5,429,57,56 days ago,-51,9.5,922800000,2
1/6/2023 6:18,24e124725c065829,22.3,47.5,443,57,56 days ago,-55,9.25,922600000,2
1/6/2023 6:28,24e124725c065829,22.4,48.5,445,57,56 days ago,-54,10.5,922600000,2
1/6/2023 6:38,24e124725c065829,22.3,47,449,57,56 days ago,-55,9.75,923400000,2
1/6/2023 6:48,24e124725c065829,22.4,47,450,57,56 days ago,-54,10,923200000,2
1/6/2023 6:58,24e124725c065829,22.4,47,462,57,56 days ago,-55,10.25,923400000,2
1/6/2023 7:08,24e124725c065829,22.4,45.5,468,57,56 days ago,-55,7,922000000,2
1/6/2023 7:18,24e124725c065829,22.5,44,462,57,56 days ago,-54,7.5,922000000,2
1/6/2023 7:28,24e124725c065829,22.4,41,474,57,56 days ago,-51,9,922600000,2
1/6/2023 7:38,24e124725c065829,22.2,41,507,57,56 days ago,-53,8.75,922800000,2
1/6/2023 7:48,24e124725c065829,22.4,41,532,57,56 days ago,-53,7.5,922000000,2
1/6/2023 7:58,24e124725c065829,22.2,40,542,57,56 days ago,-52,8.75,922600000,2
1/6/2023 8:08,24e124725c065829,22.2,47,572,57,56 days ago,-56,10,922600000,2
1/6/2023 8:18,24e124725c065829,22.2,48,587,57,56 days ago,-54,9.25,923400000,2
1/6/2023 8:28,24e124725c065829,22.1,48.5,613,57,56 days ago,-50,8,923400000,2
1/6/2023 8:38,24e124725c065829,22.2,50.5,633,57,56 days ago,-55,7,922000000,2
1/6/2023 8:48,24e124725c065829,22.3,51.5,658,57,56 days ago,-54,8.25,923400000,2
