Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/3/2023 0:03,24e124725c065829,21.2,42.5,450,70,149 days ago,-57,8,922400000,2
1/3/2023 0:13,24e124725c065829,21.1,39,454,70,149 days ago,-55,7.25,922000000,2
1/3/2023 0:23,24e124725c065829,21,49.5,452,70,149 days ago,-55,10.25,922800000,2
1/3/2023 0:33,24e124725c065829,21.1,54.5,453,70,149 days ago,-55,10.5,922800000,2
1/3/2023 0:43,24e124725c065829,21.2,48,447,70,149 days ago,-53,8.5,922800000,2
1/3/2023 0:53,24e124725c065829,21.3,43.5,454,70,149 days ago,-57,9,922400000,2
1/3/2023 1:03,24e124725c065829,21.1,40.5,456,70,148 days ago,-56,6.25,922400000,2
1/3/2023 1:13,24e124725c065829,20.9,47,453,70,148 days ago,-54,8.5,923200000,2
1/3/2023 1:23,24e124725c065829,21.3,53.5,446,70,148 days ago,-55,9.75,923200000,2
1/3/2023 1:33,24e124725c065829,21.3,47.5,451,70,148 days ago,-56,10.25,922200000,2
1/3/2023 1:43,24e124725c065829,21.1,41,453,70,148 days ago,-57,10.75,923400000,2
1/3/2023 1:53,24e124725c065829,20.9,40,448,70,148 days ago,-53,9.25,922800000,2
1/3/2023 2:03,24e124725c065829,20.8,43.5,446,70,148 days ago,-55,8,922200000,2
1/3/2023 2:13,24e124725c065829,21.1,52,451,70,148 days ago,-56,6.75,922000000,2
1/3/2023 2:23,24e124725c065829,21.3,51,439,70,148 days ago,-56,11.75,923400000,2
1/3/2023 2:33,24e124725c065829,21.2,42.5,451,70,148 days ago,-57,11,922600000,2
1/3/2023 2:43,24e124725c065829,21.2,40.5,447,70,148 days ago,-56,11,923400000,2
1/3/2023 2:53,24e124725c065829,21.2,39,441,70,148 days ago,-55,8.5,922600000,2
1/3/2023 3:03,24e124725c065829,20.8,42.5,453,70,148 days ago,-52,8.5,923200000,2
1/3/2023 3:13,24e124725c065829,21.1,52.5,449,70,148 days ago,-56,9.25,922200000,2
1/3/2023 3:23,24e124725c065829,21.3,49,439,70,148 days ago,-56,7,922400000,2
1/3/2023 3:33,24e124725c065829,21.2,40,445,70,148 days ago,-55,10.25,923200000,2
1/3/2023 3:43,24e124725c065829,21.1,39,442,70,148 days ago,-56,10.25,922600000,2
1/3/2023 3:53,24e124725c065829,20.9,44,434,70,148 days ago,-55,6.75,922000000,2
1/3/2023 4:13,24e124725c065829,21.2,53.5,443,70,148 days ago,-55,9.5,923200000,2
1/3/2023 4:23,24e124725c065829,21.1,40.5,433,70,148 days ago,-57,8.5,922400000,2
1/3/2023 4:33,24e124725c065829,20.9,39.5,442,70,148 days ago,-54,9.25,922800000,2
1/3/2023 4:43,24e124725c065829,21.1,51.5,444,70,148 days ago,-57,6.75,922000000,2
1/3/2023 4:53,24e124725c065829,21.4,51,438,70,148 days ago,-54,9.25,923200000,2
1/3/2023 5:03,24e124725c065829,21.2,43.5,448,70,148 days ago,-56,8,922000000,2
1/3/2023 5:13,24e124725c065829,21.1,40.5,437,70,148 days ago,-55,10,923200000,2
1/3/2023 5:23,24e124725c065829,20.8,39.5,446,70,148 days ago,-55,9.5,922400000,2
1/3/2023 5:33,24e124725c065829,21,52.5,440,70,148 days ago,-54,9.25,923200000,2
1/3/2023 5:43,24e124725c065829,21.1,53.5,438,70,148 days ago,-56,10.5,922800000,2
1/3/2023 5:53,24e124725c065829,21.3,42,446,70,148 days ago,-56,9.5,923400000,2
1/3/2023 6:03,24e124725c065829,20.9,39,439,70,148 days ago,-55,8.5,923200000,2
1/3/2023 6:13,24e124725c065829,20.9,43,441,70,148 days ago,-54,10,923200000,2
1/3/2023 6:23,24e124725c065829,20.9,48.5,445,70,148 days ago,-53,8.5,923200000,2
1/3/2023 6:33,24e124725c065829,21.3,54,444,70,148 days ago,-55,8.5,922600000,2
1/3/2023 6:43,24e124725c065829,21.2,47,443,70,148 days ago,-57,8.25,922400000,2
1/3/2023 6:53,24e124725c065829,21.1,43,447,70,148 days ago,-56,8.5,922400000,2
1/3/2023 7:03,24e124725c065829,20.9,38.5,452,70,148 days ago,-57,12,922200000,2
1/3/2023 7:13,24e124725c065829,21,52,468,70,148 days ago,-55,11.5,922800000,2
1/3/2023 7:23,24e124725c065829,21.1,51.5,474,70,148 days ago,-56,10,923200000,2
1/3/2023 7:33,24e124725c065829,20.7,49.5,477,70,148 days ago,-56,9,922200000,2
1/3/2023 7:43,24e124725c065829,20.9,58,487,70,148 days ago,-54,8.5,922800000,2
1/3/2023 7:53,24e124725c065829,21,47,507,70,148 days ago,-57,6.25,922000000,2
1/3/2023 8:03,24e124725c065829,20.7,49.5,528,70,148 days ago,-59,8.25,922400000,2
1/3/2023 8:14,24e124725c065829,21.3,54,563,70,148 days ago,-57,6,922000000,2
1/3/2023 8:24,24e124725c065829,21.1,45.5,593,70,148 days ago,-55,9.25,923200000,2
1/3/2023 8:34,24e124725c065829,21,43.5,617,70,148 days ago,-56,10,922600000,2
1/3/2023 8:44,24e124725c065829,20.9,41,632,70,148 days ago,-55,9.5,923400000,2
1/3/2023 8:54,24e124725c065829,21.2,54,661,70,148 days ago,-57,9,922200000,2
1/3/2023 9:04,24e124725c065829,21.6,52.5,672,70,148 days ago,-55,10,923200000,2
1/3/2023 9:14,24e124725c065829,21.2,42.5,665,70,148 days ago,-55,9.25,923200000,2
1/3/2023 9:24,24e124725c065829,21.3,55.5,677,70,148 days ago,-51,8.5,923200000,2
1/3/2023 9:34,24e124725c065829,21.6,51.5,681,70,148 days ago,-54,8.5,922800000,2
1/3/2023 9:44,24e124725c065829,21.2,44,690,70,148 days ago,-55,8.75,922800000,2
1/3/2023 9:54,24e124725c065829,21.1,40,684,70,148 days ago,-56,9.25,922200000,2
1/3/2023 10:04,24e124725c065829,21.3,54,702,70,148 days ago,-57,9.75,922200000,2
1/3/2023 10:14,24e124725c065829,21.4,50,702,70,148 days ago,-58,6.75,922000000,2
1/3/2023 10:24,24e124725c065829,21.1,40.5,705,70,148 days ago,-57,9.25,922600000,2
1/3/2023 10:34,24e124725c065829,21,49,693,70,148 days ago,-54,9.75,923200000,2
1/3/2023 10:44,24e124725c065829,21.4,56,693,70,148 days ago,-56,10,922800000,2
1/3/2023 10:54,24e124725c065829,21.3,47,701,70,148 days ago,-60,8.75,922400000,2
1/3/2023 11:04,24e124725c065829,21.2,43,698,70,148 days ago,-56,9,922800000,2
