Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/5/2023 0:05,24e124725c065829,20,55.5,457,61,88 days ago,-50,11,922200000,2
1/5/2023 0:15,24e124725c065829,20.1,53.5,461,61,88 days ago,-49,10.75,922200000,2
1/5/2023 0:25,24e124725c065829,20,48,467,61,88 days ago,-46,9.25,923200000,2
1/5/2023 0:35,24e124725c065829,20.1,44.5,465,61,88 days ago,-47,9.25,922800000,2
1/5/2023 0:45,24e124725c065829,20.2,42.5,457,61,88 days ago,-49,6.75,922000000,2
1/5/2023 0:55,24e124725c065829,20,41,466,61,87 days ago,-48,9.5,923400000,2
1/5/2023 1:05,24e124725c065829,19.8,40.5,468,61,87 days ago,-47,10.25,922200000,2
1/5/2023 1:15,24e124725c065829,19.6,44.5,472,61,87 days ago,-47,9,922600000,2
1/5/2023 1:25,24e124725c065829,19.7,53.5,456,61,87 days ago,-47,7.5,922000000,2
1/5/2023 1:35,24e124725c065829,20,55.5,462,61,87 days ago,-47,8,923400000,2
1/5/2023 1:45,24e124725c065829,20.2,56,457,61,87 days ago,-50,9.5,922200000,2
1/5/2023 1:55,24e124725c065829,20.2,49,458,61,87 days ago,-48,9.25,922600000,2
1/5/2023 2:05,24e124725c065829,20.1,44.5,471,61,87 days ago,-46,9.25,923200000,2
1/5/2023 2:15,24e124725c065829,19.9,42.5,468,61,87 days ago,-50,11.5,922200000,2
1/5/2023 2:25,24e124725c065829,19.9,41,463,61,87 days ago,-49,6.75,922000000,2
1/5/2023 2:35,24e124725c065829,19.7,40,470,61,87 days ago,-47,8.25,922200000,2
1/5/2023 2:45,24e124725c065829,19.8,44,470,61,87 days ago,-49,10,923200000,2
1/5/2023 2:55,24e124725c065829,19.8,51,466,61,87 days ago,-49,8.5,922400000,2
1/5/2023 3:05,24e124725c065829,19.9,56.5,466,61,87 days ago,-50,9.5,922400000,2
1/5/2023 3:15,24e124725c065829,19.9,54.5,462,61,87 days ago,-46,8.5,922800000,2
1/5/2023 3:25,24e124725c065829,19.9,50,470,61,87 days ago,-49,9.5,922200000,2
1/5/2023 3:35,24e124725c065829,20.1,45.5,467,61,87 days ago,-49,9.25,922800000,2
1/5/2023 3:45,24e124725c065829,20,43,464,61,87 days ago,-47,7,922000000,2
1/5/2023 3:55,24e124725c065829,19.9,40.5,459,61,87 days ago,-50,9.25,922600000,2
1/5/2023 4:05,24e124725c065829,19.7,40,455,61,87 days ago,-46,8.75,923200000,2
1/5/2023 4:15,24e124725c065829,19.7,43,468,61,87 days ago,-47,9.5,922800000,2
1/5/2023 4:25,24e124725c065829,19.6,52,457,61,87 days ago,-49,10,923400000,2
1/5/2023 4:35,24e124725c065829,19.9,52.5,464,61,87 days ago,-50,11,922200000,2
1/5/2023 4:45,24e124725c065829,20,56,465,61,87 days ago,-49,10.75,922600000,2
1/5/2023 4:55,24e124725c065829,20.2,50.5,456,61,87 days ago,-48,8.75,922600000,2
1/5/2023 5:05,24e124725c065829,20,46.5,463,61,87 days ago,-48,6.75,922000000,2
1/5/2023 5:15,24e124725c065829,19.8,43.5,472,61,87 days ago,-49,7.25,922000000,2
1/5/2023 5:25,24e124725c065829,19.8,42,466,61,87 days ago,-46,8.75,923200000,2
1/5/2023 5:35,24e124725c065829,19.7,41,457,61,87 days ago,-50,9.75,922200000,2
1/5/2023 5:45,24e124725c065829,19.8,42,462,61,87 days ago,-48,8.75,922800000,2
1/5/2023 5:56,24e124725c065829,20.2,54.5,458,61,87 days ago,-48,8.5,923200000,2
1/5/2023 6:06,24e124725c065829,19.9,56,468,61,87 days ago,-48,10.75,923200000,2
1/5/2023 6:16,24e124725c065829,20.1,51,451,61,87 days ago,-46,8.5,922800000,2
1/5/2023 6:26,24e124725c065829,20.2,46.5,463,61,87 days ago,-49,9.75,922200000,2
1/5/2023 6:36,24e124725c065829,20.2,44,466,61,87 days ago,-46,9,922800000,2
