Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/11/2022 0:07,24e124725c065829,21.1,44,482,85,269 days ago,-61,8.5,922400000,2
1/11/2022 0:17,24e124725c065829,21.2,42.5,478,85,269 days ago,-60,8.75,922600000,2
1/11/2022 0:27,24e124725c065829,20.9,42.5,494,85,269 days ago,-63,7.25,922400000,2
1/11/2022 0:37,24e124725c065829,21.1,44.5,470,85,269 days ago,-59,9,923400000,2
1/11/2022 0:47,24e124725c065829,20.9,43,476,85,269 days ago,-62,6,922000000,2
1/11/2022 0:57,24e124725c065829,21.2,44.5,468,85,269 days ago,-58,9,923400000,2
1/11/2022 1:07,24e124725c065829,21.2,46,468,85,268 days ago,-59,8.75,922600000,2
1/11/2022 1:17,24e124725c065829,21.2,43.5,471,85,268 days ago,-63,6,922000000,2
1/11/2022 1:27,24e124725c065829,21.1,44.5,460,85,268 days ago,-65,7.75,922200000,2
1/11/2022 1:37,24e124725c065829,21.2,43.5,469,85,268 days ago,-65,7,922400000,2
1/11/2022 1:47,24e124725c065829,21.1,43.5,475,85,268 days ago,-65,8.75,922400000,2
1/11/2022 1:57,24e124725c065829,21.1,42.5,472,85,268 days ago,-63,5.75,922000000,2
1/11/2022 2:07,24e124725c065829,21.2,44,483,85,268 days ago,-63,8.75,922200000,2
1/11/2022 2:17,24e124725c065829,21.2,43.5,474,85,268 days ago,-59,8.5,923200000,2
1/11/2022 2:27,24e124725c065829,21.2,44,471,85,268 days ago,-63,7.5,922400000,2
1/11/2022 2:37,24e124725c065829,21,43,471,85,268 days ago,-58,9,922800000,2
1/11/2022 2:47,24e124725c065829,21.1,43.5,477,85,268 days ago,-57,6.75,923200000,2
1/11/2022 2:57,24e124725c065829,21.2,42.5,473,85,268 days ago,-63,6.75,922000000,2
1/11/2022 3:07,24e124725c065829,21.1,44.5,471,85,268 days ago,-62,7.5,922000000,2
1/11/2022 3:17,24e124725c065829,21,47,471,85,268 days ago,-63,9.25,922200000,2
1/11/2022 3:27,24e124725c065829,21,48,475,85,268 days ago,-59,9.5,923200000,2
1/11/2022 3:37,24e124725c065829,21.1,47,467,85,268 days ago,-61,7.25,922000000,2
1/11/2022 3:47,24e124725c065829,21.1,48.5,463,85,268 days ago,-65,6.75,922000000,2
1/11/2022 3:57,24e124725c065829,21.2,49,474,85,268 days ago,-60,9.5,923400000,2
1/11/2022 4:07,24e124725c065829,21.2,50.5,479,85,268 days ago,-56,9,923200000,2
1/11/2022 4:17,24e124725c065829,21,48.5,469,85,268 days ago,-60,9.25,923200000,2
1/11/2022 4:27,24e124725c065829,21.2,48.5,461,85,268 days ago,-61,9.25,922600000,2
1/11/2022 4:37,24e124725c065829,21.3,44.5,466,85,268 days ago,-57,8.5,923200000,2
1/11/2022 4:47,24e124725c065829,21.3,44,468,85,268 days ago,-62,8.25,922200000,2
1/11/2022 4:57,24e124725c065829,21.2,44,467,85,268 days ago,-63,9.5,922600000,2
1/11/2022 5:07,24e124725c065829,21.1,43.5,455,85,268 days ago,-60,10,923200000,2
1/11/2022 5:17,24e124725c065829,21.3,44,468,85,268 days ago,-65,8.5,922400000,2
1/11/2022 5:27,24e124725c065829,21.2,44,479,85,268 days ago,-61,6.5,922000000,2
1/11/2022 5:37,24e124725c065829,21.2,42.5,467,85,268 days ago,-62,10,922600000,2
