Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/10/2022 0:09,24e124725c065829,21.7,44.5,477,89,300 days ago,-75,11,922600000,2
1/10/2022 0:19,24e124725c065829,21.5,44,485,89,300 days ago,-73,10.75,922400000,2
1/10/2022 0:29,24e124725c065829,21.5,49,480,89,300 days ago,-73,9,922600000,2
1/10/2022 0:39,24e124725c065829,21.6,47.5,481,89,300 days ago,-68,8.5,923200000,2
1/10/2022 0:49,24e124725c065829,21.5,46,483,89,300 days ago,-69,9.5,923400000,2
1/10/2022 0:59,24e124725c065829,21.5,44,474,89,300 days ago,-64,9.25,922800000,2
1/10/2022 1:09,24e124725c065829,21.5,45,472,89,299 days ago,-75,9.75,922200000,2
1/10/2022 1:19,24e124725c065829,21.4,47.5,468,89,299 days ago,-69,8,923200000,2
1/10/2022 1:29,24e124725c065829,21.5,50,477,89,299 days ago,-72,8.5,923400000,2
1/10/2022 1:40,24e124725c065829,21.5,44,467,89,299 days ago,-72,8.25,922800000,2
1/10/2022 1:50,24e124725c065829,21.5,51,477,89,299 days ago,-81,6.5,922200000,2
1/10/2022 2:00,24e124725c065829,21.5,48,469,89,299 days ago,-71,9,923400000,2
1/10/2022 2:10,24e124725c065829,21.5,46,471,89,299 days ago,-68,7.75,923400000,2
1/10/2022 2:20,24e124725c065829,21.5,48.5,479,89,299 days ago,-72,8,922600000,2
1/10/2022 2:30,24e124725c065829,21.5,50.5,463,89,299 days ago,-69,8.5,923400000,2
1/10/2022 2:40,24e124725c065829,21.5,47,462,89,299 days ago,-77,8.25,922600000,2
1/10/2022 2:50,24e124725c065829,21.6,43.5,464,89,299 days ago,-69,9.25,922600000,2
1/10/2022 3:00,24e124725c065829,21.4,45,461,89,299 days ago,-74,9.25,922200000,2
1/10/2022 3:10,24e124725c065829,21.5,50.5,464,89,299 days ago,-72,8.75,923200000,2
1/10/2022 3:20,24e124725c065829,21.5,49,460,89,299 days ago,-74,10,922600000,2
1/10/2022 3:30,24e124725c065829,21.4,45.5,460,89,299 days ago,-73,7,922400000,2
1/10/2022 3:40,24e124725c065829,21.4,45,463,89,299 days ago,-71,8.5,923400000,2
1/10/2022 3:50,24e124725c065829,21.4,44,473,89,299 days ago,-71,9,922800000,2
1/10/2022 4:00,24e124725c065829,21.4,48,474,89,299 days ago,-73,8.5,922800000,2
1/10/2022 4:10,24e124725c065829,21.4,49,477,89,299 days ago,-75,8.25,923200000,2
1/10/2022 4:20,24e124725c065829,21.5,45.5,465,89,299 days ago,-75,10.25,922400000,2
1/10/2022 4:30,24e124725c065829,21.5,48,468,89,299 days ago,-79,8.25,922600000,2
1/10/2022 4:40,24e124725c065829,21.5,49.5,471,89,299 days ago,-80,7,922400000,2
1/10/2022 4:50,24e124725c065829,21.6,44,458,89,299 days ago,-83,3.75,922000000,2
1/10/2022 5:00,24e124725c065829,21.4,45,471,89,299 days ago,-73,8.25,922800000,2
1/10/2022 5:10,24e124725c065829,21.5,50.5,475,89,299 days ago,-75,9.75,923400000,2
1/10/2022 5:20,24e124725c065829,21.6,51.5,464,89,299 days ago,-73,8.75,922200000,2
1/10/2022 5:30,24e124725c065829,21.6,45,477,89,299 days ago,-77,7.5,922800000,2
1/10/2022 5:40,24e124725c065829,21.5,44,467,89,299 days ago,-78,8,922400000,2
1/10/2022 5:50,24e124725c065829,21.5,50,480,89,299 days ago,-73,9.75,922400000,2
1/10/2022 6:00,24e124725c065829,21.6,48,462,89,299 days ago,-69,8.25,923200000,2
1/10/2022 6:10,24e124725c065829,21.6,44,464,89,299 days ago,-73,10.25,922200000,2
1/10/2022 6:20,24e124725c065829,21.7,49,477,89,299 days ago,-74,8,922800000,2
1/10/2022 6:30,24e124725c065829,21.6,50.5,479,89,299 days ago,-80,8.5,922200000,2
1/10/2022 6:40,24e124725c065829,21.6,46,468,89,299 days ago,-75,7.75,922600000,2
1/10/2022 6:50,24e124725c065829,21.4,45.5,480,89,299 days ago,-75,8.5,922600000,2
1/10/2022 7:00,24e124725c065829,21.4,48.5,473,89,299 days ago,-74,7.25,922000000,2
1/10/2022 7:10,24e124725c065829,21.5,51.5,478,89,299 days ago,-74,9.5,922800000,2
1/10/2022 7:20,24e124725c065829,21.6,51.5,482,89,299 days ago,-73,9.75,922800000,2
1/10/2022 7:30,24e124725c065829,21.6,52.5,493,89,299 days ago,-73,6.25,922000000,2
1/10/2022 7:40,24e124725c065829,21.7,45.5,482,89,299 days ago,-74,7,922000000,2
1/10/2022 7:50,24e124725c065829,21.6,44,491,89,299 days ago,-68,9.5,923400000,2
1/10/2022 8:00,24e124725c065829,21.9,44,493,89,299 days ago,-72,11.25,923200000,2
1/10/2022 8:10,24e124725c065829,21.8,50,497,89,299 days ago,-75,10.5,923400000,2
1/10/2022 8:20,24e124725c065829,22.1,49.5,501,89,299 days ago,-74,8.5,922200000,2
1/10/2022 8:30,24e124725c065829,22.3,44.5,499,89,299 days ago,-74,8.5,922800000,2
1/10/2022 8:40,24e124725c065829,22.1,48.5,501,89,299 days ago,-75,5.5,922000000,2
