Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/9/2023 0:04,24e124725c065829,22.1,46.5,438,46,30 days ago,-54,10.25,922800000,2
1/9/2023 0:14,24e124725c065829,22.1,45,432,46,30 days ago,-57,8,922400000,2
1/9/2023 0:24,24e124725c065829,22.1,44,436,46,30 days ago,-56,11.25,922800000,2
1/9/2023 0:34,24e124725c065829,22.1,41.5,438,46,30 days ago,-56,10,922800000,2
1/9/2023 0:45,24e124725c065829,22.2,41.5,421,46,30 days ago,-56,10.75,922800000,2
1/9/2023 0:54,24e124725c065829,22.2,41,420,46,30 days ago,-57,10.5,922200000,2
1/9/2023 1:05,24e124725c065829,22.1,39.5,435,46,30 days ago,-56,10,922800000,2
1/9/2023 1:15,24e124725c065829,22,40,413,46,30 days ago,-54,10.5,922800000,2
1/9/2023 1:24,24e124725c065829,22,41,427,46,30 days ago,-57,9.5,922600000,2
1/9/2023 1:34,24e124725c065829,22,44.5,427,46,30 days ago,-59,9.5,923200000,2
1/9/2023 1:44,24e124725c065829,22,44.5,410,46,30 days ago,-54,9.5,922800000,2
1/9/2023 1:54,24e124725c065829,22,45.5,420,46,30 days ago,-57,7.75,922400000,2
1/9/2023 2:04,24e124725c065829,22.1,47.5,422,46,30 days ago,-59,8,923400000,2
1/9/2023 2:14,24e124725c065829,22.1,48,414,46,30 days ago,-57,10.25,922200000,2
1/9/2023 2:24,24e124725c065829,22.2,48.5,421,46,30 days ago,-57,10.25,922600000,2
1/9/2023 2:34,24e124725c065829,22.2,48,430,46,30 days ago,-56,6,922400000,2
1/9/2023 2:44,24e124725c065829,22.1,44.5,415,46,30 days ago,-56,10,923200000,2
1/9/2023 2:54,24e124725c065829,22,40.5,426,46,30 days ago,-59,8,922400000,2
1/9/2023 3:04,24e124725c065829,22.1,40,426,46,30 days ago,-56,11.25,923200000,2
1/9/2023 3:15,24e124725c065829,22.1,39,406,46,30 days ago,-61,7.75,923400000,2
1/9/2023 3:24,24e124725c065829,22.1,38.5,431,46,30 days ago,-55,8.5,922800000,2
1/9/2023 3:34,24e124725c065829,22,38.5,430,46,30 days ago,-57,7.75,922400000,2
1/9/2023 3:45,24e124725c065829,22.1,40.5,435,46,30 days ago,-54,8.5,922800000,2
1/9/2023 3:54,24e124725c065829,22,45,428,46,30 days ago,-56,7.5,922400000,2
1/9/2023 4:04,24e124725c065829,22,45.5,436,46,30 days ago,-57,10.5,923200000,2
1/9/2023 4:16,24e124725c065829,22.3,48.5,435,46,30 days ago,-57,7.5,922400000,2
1/9/2023 4:25,24e124725c065829,22.1,46.5,431,46,30 days ago,-57,8.25,923400000,2
1/9/2023 4:36,24e124725c065829,22.1,41.5,434,46,30 days ago,-57,6.75,923400000,2
1/9/2023 4:46,24e124725c065829,22,40.5,433,46,30 days ago,-54,7.75,922000000,2
1/9/2023 4:56,24e124725c065829,22,39.5,436,46,30 days ago,-57,11.75,922200000,2
1/9/2023 5:06,24e124725c065829,21.9,38.5,427,46,30 days ago,-57,7,923400000,2
1/9/2023 5:16,24e124725c065829,22.1,39,432,46,30 days ago,-57,10,923200000,2
