Index,Date Created,Radiation(uSv/h)
1,1/10/2022,32368.10816
2,2/10/2022,28877.24698
3,3/10/2022,33186.8926
4,4/10/2022,43159.88239
5,5/10/2022,36623.6687
6,6/10/2022,33711.16367
7,7/10/2022,30434.03567
8,8/10/2022,26955.94138
9,9/10/2022,22602.67289
10,10/10/2022,29597.264
11,11/10/2022,40925.69944
12,12/10/2022,35221.64947
13,13/10/2022,38486.38825
14,14/10/2022,41328.88115
15,15/10/2022,26503.33123
16,16/10/2022,29374.96493
17,17/10/2022,35741.29705
18,18/10/2022,29824.30027
19,19/10/2022,29703.51473
20,20/10/2022,28808.06334
21,21/10/2022,21820.37244
22,22/10/2022,25807.97023
23,23/10/2022,26138.72526
24,24/10/2022,28312.67627
25,25/10/2022,37550.64653
26,26/10/2022,28944.45946
27,27/10/2022,0
28,28/10/2022,17002.77325
29,29/10/2022,25818.07843
30,30/10/2022,27939.15208
31,31/10/2022,38173.4519
32,1/11/2022,19881.18333
33,2/11/2022,0
34,3/11/2022,0
35,4/11/2022,17552.74675
36,5/11/2022,32349.0196
37,6/11/2022,30509.27515
38,7/11/2022,44621.04663
39,8/11/2022,34948.85753
40,9/11/2022,29803.04054
41,10/11/2022,42805.54
42,11/11/2022,26860.72922
43,12/11/2022,0
44,13/11/2022,0
45,14/11/2022,17376.881
46,15/11/2022,38800.52726
47,16/11/2022,23454.61363
48,17/11/2022,34511.19555
49,18/11/2022,30864.64683
50,19/11/2022,25345.29425
51,20/11/2022,35898.76806
52,21/11/2022,35087.15674
53,22/11/2022,38050.15241
54,23/11/2022,30578.57012
55,24/11/2022,37940.17667
56,25/11/2022,24325.50742
57,26/11/2022,29214.98622
58,27/11/2022,28522.02409
59,28/11/2022,29188.80652
60,29/11/2022,38075.76749
61,30/11/2022,55072.88833
62,1/12/2022,36038.26181
63,2/12/2022,45674.1884
64,3/12/2022,23471.59983
65,4/12/2022,24553.67274
66,5/12/2022,31281.45214
67,6/12/2022,32557.14483
68,7/12/2022,28055.61547
69,8/12/2022,34718.57184
70,9/12/2022,26705.59933
71,10/12/2022,30093.19574
72,11/12/2022,35399.99454
73,12/12/2022,26643.27281
74,13/12/2022,35239.78147
75,14/12/2022,32639.02874
76,15/12/2022,24532.43508
77,16/12/2022,31754.88246
78,17/12/2022,27009.81888
79,18/12/2022,28774.36363
80,19/12/2022,38070.47831
81,20/12/2022,26824.57773
82,21/12/2022,31781.39556
83,22/12/2022,38815.31442
84,23/12/2022,34898.9767
85,24/12/2022,34938.98163
86,25/12/2022,22313.35465
87,26/12/2022,26886.1394
88,27/12/2022,38324.34779
89,28/12/2022,36210.40714
90,29/12/2022,30461.23486
91,30/12/2022,30395.89338
92,31/12/2022,22762.25008
93,1/1/2023,31817.78915
94,2/1/2023,30717.22298
95,3/1/2023,27544.36471
96,4/1/2023,33481.81727
97,5/1/2023,39574.89321
98,6/1/2023,39576.16499
99,7/1/2023,31459.83152
100,8/1/2023,28504.15899
101,9/1/2023,0
102,10/1/2023,0
103,11/1/2023,0
104,12/1/2023,0
105,13/1/2023,0
106,14/1/2023,0
107,15/1/2023,0
108,16/1/2023,16373.84144
109,17/1/2023,28489.178
110,18/1/2023,44196.92464
111,19/1/2023,31216.68439
112,20/1/2023,37506.12574
113,21/1/2023,30676.11803
114,22/1/2023,33785.4696
115,23/1/2023,34793.51372
116,24/1/2023,25565.09921
117,25/1/2023,28702.60254
118,26/1/2023,40914.06142
119,27/1/2023,39508.1199
120,28/1/2023,34642.06071
121,29/1/2023,26927.00015
122,30/1/2023,27813.79958
123,31/1/2023,28637.88789
124,1/2/2023,43173.60509
125,2/2/2023,37486.26135
126,3/2/2023,32724.88285
127,4/2/2023,30774.49481
128,5/2/2023,33083.14116
129,6/2/2023,28709.72307
130,7/2/2023,31799.71233
131,8/2/2023,35654.04774
132,9/2/2023,30125.52947
133,10/2/2023,27442.1007
134,11/2/2023,26852.55864
135,12/2/2023,26595.22805
136,13/2/2023,35667.8204
137,14/2/2023,37449.23063
138,15/2/2023,25087.58737
139,16/2/2023,36222.36191
140,17/2/2023,30285.50036
141,18/2/2023,0
142,19/2/2023,0
143,20/2/2023,0
144,21/2/2023,0
145,22/2/2023,0
146,23/2/2023,0
147,24/2/2023,35339.19054
148,25/2/2023,27497.88813
149,26/2/2023,23320.48022
150,27/2/2023,35954.26608
151,28/2/2023,26735.0791
152,1/3/2023,23180.52406
153,2/3/2023,31753.17643
154,3/3/2023,33938.16246
155,4/3/2023,24327.98125
156,5/3/2023,31000.51278
157,6/3/2023,32711.03569
158,7/3/2023,29384.39526
159,8/3/2023,36397.19275
160,9/3/2023,36297.78335
161,10/3/2023,27060.66698
162,11/3/2023,27980.3542
163,12/3/2023,28157.2277
164,13/3/2023,32059.97776
165,14/3/2023,34317.20458
166,15/3/2023,38258.44778
167,16/3/2023,30071.2538
168,17/3/2023,32625.43486
169,18/3/2023,31227.1336
170,19/3/2023,25686.85333
171,20/3/2023,27569.9212
172,21/3/2023,37679.52618
173,22/3/2023,30639.85912
174,23/3/2023,31209.67873
175,24/3/2023,33153.39069
176,25/3/2023,35670.96169
177,26/3/2023,53334.73728
178,27/3/2023,0
179,28/3/2023,0
180,29/3/2023,0
181,30/3/2023,0
182,31/3/2023,0
183,1/4/2023,37246.48776
184,2/4/2023,28246.19657
185,3/4/2023,40566.13893
186,4/4/2023,35499.18166
187,5/4/2023,31133.18968
188,6/4/2023,32974.46859
189,7/4/2023,28369.55262
190,8/4/2023,36111.07163
191,9/4/2023,29842.12152
192,10/4/2023,30152.69899
193,11/4/2023,31501.53608
194,12/4/2023,36815.36492
195,13/4/2023,26703.68033
196,14/4/2023,34897.34365
197,15/4/2023,28653.88363
198,16/4/2023,31409.21033
199,17/4/2023,43717.20874
200,18/4/2023,30055.11283
201,19/4/2023,34459.72245
202,20/4/2023,29784.83491
203,21/4/2023,28162.03637
204,22/4/2023,27128.75061
205,23/4/2023,27780.09156
206,24/4/2023,34790.16731
207,25/4/2023,33715.20261
208,26/4/2023,36751.08384
209,27/4/2023,28561.22257
210,28/4/2023,28280.13313
211,29/4/2023,29024.62992
212,30/4/2023,25794.74212
213,1/5/2023,30668.73266
214,2/5/2023,29328.44949
215,3/5/2023,44599.78633
216,4/5/2023,24452.68255
217,5/5/2023,35627.28298
218,6/5/2023,35240.77982
219,7/5/2023,26421.00274
220,8/5/2023,33017.50584
221,9/5/2023,29306.00046
222,10/5/2023,42647.89319
223,11/5/2023,22112.67337
224,12/5/2023,25377.08728
225,13/5/2023,25270.6861
226,14/5/2023,28642.72773
227,15/5/2023,37665.96071
228,16/5/2023,29418.47723
229,17/5/2023,35126.196
230,18/5/2023,37130.26341
231,19/5/2023,33040.81134
232,20/5/2023,35302.57557
233,21/5/2023,30058.69162
234,22/5/2023,47303.62124
235,23/5/2023,32559.39337
236,24/5/2023,38790.98736
237,25/5/2023,32231.05354
238,26/5/2023,29175.94889
239,27/5/2023,41080.15838
240,28/5/2023,33270.83604
241,29/5/2023,37269.78766
242,30/5/2023,27272.54373
243,31/5/2023,37629.55718
244,1/6/2023,29016.15745
245,2/6/2023,27589.84363
246,3/6/2023,26913.1211
247,4/6/2023,25823.30215
248,5/6/2023,27135.69275
249,6/6/2023,30333.0882
250,7/6/2023,27900.71078
251,8/6/2023,33665.29531
252,9/6/2023,27495.40698
253,10/6/2023,28358.5835
254,11/6/2023,33731.22985
255,12/6/2023,35973.19243
256,13/6/2023,37299.22556
257,14/6/2023,34979.34863
258,15/6/2023,30126.03495
259,16/6/2023,32101.97192
260,17/6/2023,30798.97468
261,18/6/2023,33034.80516
262,19/6/2023,35106.82052
263,20/6/2023,30733.4717
264,21/6/2023,28176.01579
265,22/6/2023,30750.22962
266,23/6/2023,27754.71475
267,24/6/2023,30232.16103
268,25/6/2023,27634.6486
269,26/6/2023,33750.02271
