Date Created,Risk level
1/1/2024,3
2/1/2024,6
3/1/2024,9
4/1/2024,5
5/1/2024,2
6/1/2024,8
7/1/2024,10
8/1/2024,4
9/1/2024,7
10/1/2024,1
11/1/2024,6
12/1/2024,3
13/1/2024,9
14/1/2024,2
15/1/2024,7
16/1/2024,4
17/1/2024,10
18/1/2024,8
19/1/2024,5
20/1/2024,1
21/1/2024,6
22/1/2024,3
23/1/2024,8
24/1/2024,9
25/1/2024,2
26/1/2024,7
27/1/2024,10
28/1/2024,5
29/1/2024,4
30/1/2024,1
31/1/2024,8
1/2/2024,6
2/2/2024,3
3/2/2024,9
4/2/2024,9
5/2/2024,8
6/2/2024,7
7/2/2024,10
8/2/2024,10
9/2/2024,10
10/2/2024,10
11/2/2024,10
12/2/2024,10
13/2/2024,10
14/2/2024,10
15/2/2024,10
16/2/2024,10
17/2/2024,10
18/2/2024,10
19/2/2024,10
20/2/2024,10
21/2/2024,10
22/2/2024,10
23/2/2024,10
24/2/2024,10
25/2/2024,10
26/2/2024,10
27/2/2024,10
28/2/2024,10
29/2/2024,10
1/3/2024,8
2/3/2024,7
3/3/2024,8
4/3/2024,9
5/3/2024,6
6/3/2024,7
7/3/2024,4
8/3/2024,10
9/3/2024,5
10/3/2024,1
11/3/2024,8
12/3/2024,6
13/3/2024,3
14/3/2024,9
15/3/2024,2
16/3/2024,7
17/3/2024,4
18/3/2024,10
19/3/2024,5
20/3/2024,1
21/3/2024,8
22/3/2024,6
23/3/2024,3
24/3/2024,9
25/3/2024,2
26/3/2024,7
27/3/2024,4
28/3/2024,10
29/3/2024,5
30/3/2024,1
31/3/2024,5
1/4/2024,2
2/4/2024,9
3/4/2024,4
4/4/2024,7
5/4/2024,2
6/4/2024,8
7/4/2024,1
8/4/2024,6
9/4/2024,6
10/4/2024,4
11/4/2024,3
12/4/2024,5
13/4/2024,9
14/4/2024,10
15/4/2024,8
16/4/2024,2
17/4/2024,1
18/4/2024,5
19/4/2024,6
20/4/2024,3
21/4/2024,8
22/4/2024,7
23/4/2024,4
24/4/2024,2
25/4/2024,5
26/4/2024,3
27/4/2024,7
28/4/2024,1
29/4/2024,10
30/4/2024,6
1/5/2024,8
2/5/2024,4
3/5/2024,7
4/5/2024,3
5/5/2024,9
6/5/2024,10
7/5/2024,2
8/5/2024,5
9/5/2024,6
10/5/2024,3
11/5/2024,7
12/5/2024,1
13/5/2024,9
14/5/2024,8
15/5/2024,4
16/5/2024,10
17/5/2024,2
18/5/2024,7
19/5/2024,6
20/5/2024,5
21/5/2024,6
22/5/2024,4
23/5/2024,6
24/5/2024,5
25/5/2024,1
26/5/2024,3
27/5/2024,2
28/5/2024,5
29/5/2024,7
30/5/2024,10
31/5/2024,8
