Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/4/2024 0:02,24e124725c065829,19.4,58,465,18,30 days ago,-56,10,922600000,2
1/4/2024 0:12,24e124725c065829,19.4,58.5,461,18,30 days ago,-55,7,922000000,2
1/4/2024 0:22,24e124725c065829,19.4,58.5,454,18,30 days ago,-56,7.25,922400000,2
1/4/2024 0:32,24e124725c065829,19.5,57.5,456,18,30 days ago,-56,9,922400000,2
1/4/2024 0:42,24e124725c065829,19.4,56.5,460,18,30 days ago,-56,10.5,922600000,2
1/4/2024 0:52,24e124725c065829,19.8,74.5,450,18,30 days ago,-56,10.75,922600000,2
1/4/2024 1:02,24e124725c065829,20.1,69.5,457,18,30 days ago,-56,9.5,923200000,2
1/4/2024 1:12,24e124725c065829,20.6,64.5,454,18,30 days ago,-56,8,922400000,2
1/4/2024 1:22,24e124725c065829,20.8,61,453,18,30 days ago,-56,10.25,922600000,2
1/4/2024 1:32,24e124725c065829,20.9,60,463,18,30 days ago,-55,8,922200000,2
1/4/2024 1:42,24e124725c065829,20.6,55,461,18,30 days ago,-56,10.5,922800000,2
1/4/2024 1:52,24e124725c065829,20.4,57,452,18,30 days ago,-56,8,923200000,2
1/4/2024 2:02,24e124725c065829,20.2,55.5,466,18,30 days ago,-57,10.5,922600000,2
1/4/2024 2:12,24e124725c065829,20,55.5,467,18,30 days ago,-56,8.75,923200000,2
1/4/2024 2:22,24e124725c065829,20,54,450,18,30 days ago,-56,10.25,923200000,2
1/4/2024 2:32,24e124725c065829,19.6,56,466,18,30 days ago,-55,10.5,922800000,2
1/4/2024 2:42,24e124725c065829,19.7,55.5,458,18,30 days ago,-56,9.5,922600000,2
1/4/2024 2:52,24e124725c065829,19.5,57.5,470,18,30 days ago,-54,8,922200000,2
1/4/2024 3:02,24e124725c065829,19.7,57.5,463,18,30 days ago,-56,10.25,922200000,2
1/4/2024 3:12,24e124725c065829,19.6,57.5,454,18,30 days ago,-57,8.75,923400000,2
1/4/2024 3:22,24e124725c065829,19.5,57.5,457,18,30 days ago,-55,8.75,922600000,2
1/4/2024 3:32,24e124725c065829,19.5,56.5,448,18,30 days ago,-56,6.75,922000000,2
1/4/2024 3:42,24e124725c065829,19.4,57.5,459,18,30 days ago,-56,9.25,922800000,2
1/4/2024 4:02,24e124725c065829,20,69,457,18,30 days ago,-55,8.5,923400000,2
1/4/2024 4:12,24e124725c065829,20.4,65,462,18,30 days ago,-56,7.25,923400000,2
1/4/2024 4:22,24e124725c065829,20.7,62,463,18,30 days ago,-54,8.5,922200000,2
