Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/2/2024 0:03,24e124725c065494,20.3,50.5,457,31,29 days ago,-68,8.5,922800000,2
1/2/2024 0:13,24e124725c065494,20.4,52,459,31,29 days ago,-68,6.5,922000000,2
1/2/2024 0:23,24e124725c065494,20.5,52.5,458,31,29 days ago,-71,6.75,922400000,2
1/2/2024 0:33,24e124725c065494,20.6,53,459,31,29 days ago,-69,7.75,923200000,2
1/2/2024 0:43,24e124725c065494,20.7,53,457,31,29 days ago,-69,10.5,922200000,2
1/2/2024 0:53,24e124725c065494,20.9,53.5,445,31,29 days ago,-71,9,922800000,2
1/2/2024 1:03,24e124725c065494,20.9,53.5,454,31,29 days ago,-68,7.25,922600000,2
1/2/2024 1:13,24e124725c065494,21,54,454,31,29 days ago,-71,7,922800000,2
1/2/2024 1:23,24e124725c065494,21,50,455,31,29 days ago,-69,9.25,922400000,2
1/2/2024 1:33,24e124725c065494,20.6,44,451,31,29 days ago,-67,7,922000000,2
1/2/2024 1:43,24e124725c065494,20.3,43,450,31,29 days ago,-70,8,923400000,2
1/2/2024 1:53,24e124725c065494,20,42.5,466,31,29 days ago,-69,7.5,922200000,2
1/2/2024 2:03,24e124725c065494,19.8,42,456,31,29 days ago,-67,7.25,922000000,2
1/2/2024 2:13,24e124725c065494,19.7,42.5,453,31,29 days ago,-69,8,922600000,2
1/2/2024 2:23,24e124725c065494,19.7,43,447,31,29 days ago,-71,8.5,922600000,2
1/2/2024 2:33,24e124725c065494,19.5,43,459,31,29 days ago,-66,9,922800000,2
1/2/2024 2:43,24e124725c065494,19.8,58,461,31,29 days ago,-67,9.5,922200000,2
1/2/2024 2:53,24e124725c065494,20.5,64.5,464,31,29 days ago,-68,8.25,922200000,2
1/2/2024 3:03,24e124725c065494,20.7,54,454,31,29 days ago,-68,10,922800000,2
1/2/2024 3:13,24e124725c065494,20.4,47,454,31,29 days ago,-69,8.5,922600000,2
1/2/2024 3:23,24e124725c065494,20.2,45.5,452,31,29 days ago,-73,7.5,922400000,2
1/2/2024 3:33,24e124725c065494,20.1,45.5,459,31,29 days ago,-68,6.75,922800000,2
1/2/2024 3:43,24e124725c065494,20.1,47.5,456,31,29 days ago,-68,9.5,922800000,2
1/2/2024 3:53,24e124725c065494,20.1,49,451,31,29 days ago,-68,9.75,922600000,2
1/2/2024 4:03,24e124725c065494,20.3,51,450,31,29 days ago,-71,8,923400000,2
1/2/2024 4:13,24e124725c065494,20.3,52,454,31,29 days ago,-73,9,923400000,2
1/2/2024 4:23,24e124725c065494,20.5,52,448,31,29 days ago,-67,8,922000000,2
1/2/2024 4:33,24e124725c065494,20.5,51.5,454,31,29 days ago,-72,7.75,923400000,2
1/2/2024 4:43,24e124725c065494,20.5,51.5,460,31,29 days ago,-74,10,923400000,2
1/2/2024 4:53,24e124725c065494,20.6,52,458,31,29 days ago,-66,7.5,922000000,2
1/2/2024 5:03,24e124725c065494,20.7,52.5,446,31,29 days ago,-68,6.75,923200000,2
1/2/2024 5:13,24e124725c065494,20.7,52.5,443,31,29 days ago,-71,8.5,922600000,2
1/2/2024 5:23,24e124725c065494,20.8,46.5,449,31,29 days ago,-68,7.5,922400000,2
1/2/2024 5:33,24e124725c065494,20.3,41,454,31,29 days ago,-67,6.5,922000000,2
1/2/2024 5:43,24e124725c065494,19.8,39.5,455,31,29 days ago,-66,6.75,922000000,2
1/2/2024 5:53,24e124725c065494,20.1,58,448,31,29 days ago,-68,9,922200000,2
1/2/2024 6:03,24e124725c065494,20.7,63.5,460,31,29 days ago,-69,7.25,922600000,2
1/2/2024 6:13,24e124725c065494,20.7,52,449,31,29 days ago,-75,9.5,923400000,2
1/2/2024 6:23,24e124725c065494,20.3,44,458,31,29 days ago,-66,7.5,922000000,2
1/2/2024 6:33,24e124725c065494,19.9,41.5,455,31,29 days ago,-67,6.75,922000000,2
1/2/2024 6:43,24e124725c065494,20.2,58,460,31,29 days ago,-68,9.75,922800000,2
1/2/2024 6:53,24e124725c065494,20.8,65,459,31,29 days ago,-69,8.5,922600000,2
1/2/2024 7:03,24e124725c065494,20.6,50.5,463,31,29 days ago,-66,7.25,922000000,2
1/2/2024 7:13,24e124725c065494,20.2,44,478,31,29 days ago,-71,9.25,922400000,2
1/2/2024 7:23,24e124725c065494,20,43,480,31,29 days ago,-72,9.25,923400000,2
