Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/1/2024 0:09,24e124725c065829,21.8,44,445,29,31 days ago,-49,12,922800000,2
1/1/2024 0:19,24e124725c065829,21.8,43.5,450,29,31 days ago,-50,9.75,922200000,2
1/1/2024 0:29,24e124725c065829,21.8,42.5,453,29,31 days ago,-50,8.25,923400000,2
1/1/2024 0:39,24e124725c065829,21.7,49.5,453,29,31 days ago,-50,8.25,923400000,2
1/1/2024 0:49,24e124725c065829,21.9,51.5,437,29,31 days ago,-49,10.25,922200000,2
1/1/2024 0:59,24e124725c065829,21.9,46,451,29,31 days ago,-49,10.5,922200000,2
1/1/2024 1:09,24e124725c065829,21.9,43,457,29,31 days ago,-50,7.75,922400000,2
1/1/2024 1:19,24e124725c065829,21.8,42,448,29,31 days ago,-49,7.75,922000000,2
1/1/2024 1:29,24e124725c065829,21.8,48,456,29,31 days ago,-49,10.5,923200000,2
1/1/2024 1:39,24e124725c065829,21.8,49,447,29,31 days ago,-51,9.75,922200000,2
1/1/2024 1:49,24e124725c065829,21.9,52,438,29,31 days ago,-50,11.5,922200000,2
1/1/2024 1:59,24e124725c065829,21.9,49.5,452,29,31 days ago,-50,7.5,922000000,2
1/1/2024 2:19,24e124725c065829,21.9,42.5,452,29,31 days ago,-50,9.25,923200000,2
1/1/2024 2:29,24e124725c065829,21.9,50,444,29,31 days ago,-51,9.75,923200000,2
1/1/2024 2:39,24e124725c065829,21.8,48,448,29,31 days ago,-50,10,922200000,2
1/1/2024 2:49,24e124725c065829,21.9,51.5,447,29,31 days ago,-48,8.75,923200000,2
1/1/2024 2:59,24e124725c065829,21.9,50.5,442,29,31 days ago,-48,7.5,922000000,2
1/1/2024 3:09,24e124725c065829,22,47,452,29,31 days ago,-51,7.5,922000000,2
1/1/2024 3:19,24e124725c065829,21.8,46,451,29,31 days ago,-50,8,923400000,2
1/1/2024 3:29,24e124725c065829,21.9,44.5,451,29,31 days ago,-51,9.25,923400000,2
1/1/2024 3:39,24e124725c065829,21.8,43,442,29,31 days ago,-51,7.75,922400000,2
1/1/2024 3:49,24e124725c065829,21.8,41.5,443,29,31 days ago,-51,7.5,922400000,2
1/1/2024 3:59,24e124725c065829,22,50,453,29,31 days ago,-53,7.5,922400000,2
1/1/2024 4:09,24e124725c065829,21.9,50.5,461,29,31 days ago,-51,11.25,922800000,2
1/1/2024 4:19,24e124725c065829,21.9,52,445,29,31 days ago,-51,9.25,922200000,2
1/1/2024 4:29,24e124725c065829,22,46,442,29,31 days ago,-48,9.25,923200000,2
1/1/2024 4:39,24e124725c065829,21.9,44.5,444,29,31 days ago,-51,9.5,922600000,2
1/1/2024 4:49,24e124725c065829,21.8,43,445,29,31 days ago,-53,9,923400000,2
1/1/2024 5:09,24e124725c065829,21.9,50,445,29,31 days ago,-49,9.25,922800000,2
1/1/2024 5:19,24e124725c065829,22,51,443,29,31 days ago,-49,9.5,922200000,2
1/1/2024 5:29,24e124725c065829,21.9,50,444,29,31 days ago,-47,9.25,922800000,2
1/1/2024 5:39,24e124725c065829,21.9,47.5,449,29,31 days ago,-49,10.25,923200000,2
1/1/2024 5:49,24e124725c065829,21.9,46,439,29,31 days ago,-50,8.25,923400000,2
1/1/2024 5:59,24e124725c065829,21.9,43,444,29,31 days ago,-50,9.25,923400000,2
1/1/2024 6:09,24e124725c065829,21.9,42.5,441,29,31 days ago,-49,10.25,922800000,2
1/1/2024 6:19,24e124725c065829,21.8,47,450,29,31 days ago,-49,11,923200000,2
1/1/2024 6:29,24e124725c065829,22.1,52,444,29,31 days ago,-50,9.25,923400000,2
1/1/2024 6:39,24e124725c065829,22.1,44,446,29,31 days ago,-50,8,922400000,2
1/1/2024 6:49,24e124725c065829,22.3,50,442,29,31 days ago,-48,8.75,922800000,2
1/1/2024 7:09,24e124725c065829,22.4,48,454,29,31 days ago,-50,7.25,922000000,2
1/1/2024 7:19,24e124725c065829,22.3,42.5,453,29,31 days ago,-50,11,923200000,2
1/1/2024 7:29,24e124725c065829,22.4,45.5,448,29,31 days ago,-49,9.5,922800000,2
1/1/2024 7:49,24e124725c065829,22.5,42.5,449,29,31 days ago,-50,8,922000000,2
1/1/2024 7:59,24e124725c065829,22.5,47,448,29,31 days ago,-49,9,923200000,2
1/1/2024 8:09,24e124725c065829,22.4,44.5,450,29,31 days ago,-50,6.75,922000000,2
1/1/2024 8:19,24e124725c065829,22.4,43,455,29,31 days ago,-49,10.75,923200000,2
1/1/2024 8:29,24e124725c065829,22.3,47,455,29,31 days ago,-49,9,922800000,2
1/1/2024 8:39,24e124725c065829,22.4,41,456,29,31 days ago,-48,9,922800000,2
1/1/2024 8:49,24e124725c065829,22.5,46,462,29,31 days ago,-50,9.75,923200000,2
1/1/2024 8:59,24e124725c065829,22.3,48,464,29,31 days ago,-50,7.75,922000000,2
1/1/2024 9:09,24e124725c065829,22.3,43,454,29,31 days ago,-49,8.25,922600000,2
1/1/2024 9:19,24e124725c065829,22.4,47,462,29,31 days ago,-49,9.5,923200000,2
1/1/2024 9:29,24e124725c065829,22.2,44.5,461,29,31 days ago,-49,9.5,922800000,2
1/1/2024 9:31,24e124725c065829,22.5,47.5,459,29,31 days ago,-50,8.75,922200000,2
1/1/2024 9:40,24e124725c065829,22.5,41.5,475,29,31 days ago,-51,8,922400000,2
1/1/2024 9:51,24e124725c065829,22.5,46,455,29,31 days ago,-48,9,922800000,2
1/1/2024 10:01,24e124725c065829,22.4,47,457,29,31 days ago,-51,7.5,922400000,2
1/1/2024 10:10,24e124725c065829,22.1,46,469,29,31 days ago,-49,9.25,922600000,2
1/1/2024 10:21,24e124725c065829,22.1,49.5,444,29,31 days ago,-53,8,922400000,2
1/1/2024 10:30,24e124725c065829,22.2,49,447,29,31 days ago,-51,9.5,922200000,2
1/1/2024 10:40,24e124725c065829,22.1,51,442,29,31 days ago,-51,8.25,922400000,2
