Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/3/2024 0:03,24e124725c065494,20.4,48,448,28,31 days ago,-67,10.25,922800000,2
1/3/2024 0:13,24e124725c065494,20.5,50,450,28,31 days ago,-71,8.5,923400000,2
1/3/2024 0:23,24e124725c065494,20.5,50.5,462,28,31 days ago,-68,10.5,922800000,2
1/3/2024 0:33,24e124725c065494,20.6,51.5,457,28,31 days ago,-65,8.5,922200000,2
1/3/2024 0:43,24e124725c065494,20.6,52,473,28,31 days ago,-65,9.5,922800000,2
1/3/2024 0:53,24e124725c065494,20.7,52.5,463,28,31 days ago,-66,8.75,922800000,2
1/3/2024 1:03,24e124725c065494,20.8,53,459,28,31 days ago,-67,8.5,923200000,2
1/3/2024 1:13,24e124725c065494,20.9,53.5,457,28,31 days ago,-66,8.75,922800000,2
1/3/2024 1:23,24e124725c065494,21,52.5,468,28,31 days ago,-69,8.5,923400000,2
1/3/2024 1:33,24e124725c065494,20.9,52,467,28,31 days ago,-65,5.5,922000000,2
1/3/2024 1:43,24e124725c065494,21,52.5,469,28,31 days ago,-65,9.75,923200000,2
1/3/2024 1:53,24e124725c065494,21,52.5,458,28,31 days ago,-66,8.25,922800000,2
1/3/2024 2:03,24e124725c065494,20.9,52.5,449,28,31 days ago,-67,7.5,923400000,2
1/3/2024 2:13,24e124725c065494,20.9,52.5,463,28,31 days ago,-62,6.5,922000000,2
1/3/2024 2:23,24e124725c065494,20.9,52.5,448,28,31 days ago,-65,8.5,922200000,2
1/3/2024 2:33,24e124725c065494,20.9,53,442,28,31 days ago,-67,10.75,922200000,2
1/3/2024 2:43,24e124725c065494,20.9,53,464,28,31 days ago,-64,8.5,922600000,2
1/3/2024 2:53,24e124725c065494,21,53.5,456,28,31 days ago,-68,10.25,923400000,2
1/3/2024 3:03,24e124725c065494,21,54,465,28,31 days ago,-68,10.75,923200000,2
1/3/2024 3:13,24e124725c065494,21,54,463,28,31 days ago,-67,7,922000000,2
1/3/2024 3:23,24e124725c065494,21,49,455,28,31 days ago,-65,8.5,923400000,2
1/3/2024 3:33,24e124725c065494,20.6,44.5,449,28,31 days ago,-65,8.75,922800000,2
1/3/2024 3:43,24e124725c065494,20.2,43,453,28,31 days ago,-71,8,923400000,2
1/3/2024 3:53,24e124725c065494,20.2,45,469,28,31 days ago,-66,9.5,922800000,2
1/3/2024 4:03,24e124725c065494,20.3,47.5,459,28,31 days ago,-66,8.5,922200000,2
