Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1/5/2024 0:03,24e124725c065829,21.1,56,449,14,31 days ago,-54,8.75,922400000,2
1/5/2024 0:13,24e124725c065829,21.2,55,468,14,31 days ago,-51,10,922800000,2
1/5/2024 0:23,24e124725c065829,21.1,57,449,14,31 days ago,-52,8.5,923200000,2
1/5/2024 0:33,24e124725c065829,21.1,62.5,449,14,31 days ago,-54,7,922000000,2
1/5/2024 0:43,24e124725c065829,21.4,67.5,460,14,31 days ago,-56,10,922400000,2
1/5/2024 0:53,24e124725c065829,21.5,68,465,14,31 days ago,-54,7.25,922000000,2
1/5/2024 1:03,24e124725c065829,21.7,64.5,455,14,31 days ago,-56,10.75,923200000,2
1/5/2024 1:13,24e124725c065829,21.7,60,452,14,31 days ago,-55,11,923200000,2
1/5/2024 1:33,24e124725c065829,21.8,55,461,14,31 days ago,-54,8,923400000,2
1/5/2024 1:53,24e124725c065829,21.6,56,457,14,31 days ago,-52,9.5,922800000,2
1/5/2024 2:03,24e124725c065829,21.6,62,455,14,31 days ago,-56,10.5,922400000,2
1/5/2024 2:13,24e124725c065829,21.8,66.5,471,14,31 days ago,-54,8.75,922800000,2
1/5/2024 2:23,24e124725c065829,21.9,67.5,458,14,31 days ago,-53,9,922800000,2
1/5/2024 2:33,24e124725c065829,22.1,64.5,456,14,31 days ago,-55,9.75,922600000,2
1/5/2024 2:43,24e124725c065829,22.1,61,459,14,31 days ago,-53,9.25,922800000,2
1/5/2024 2:53,24e124725c065829,21.4,53.5,462,14,31 days ago,-55,9.75,922400000,2
1/5/2024 3:03,24e124725c065829,21.1,52.5,456,14,31 days ago,-55,10.5,923400000,2
1/5/2024 3:13,24e124725c065829,20.5,53,460,14,31 days ago,-54,10.5,923400000,2
1/5/2024 3:23,24e124725c065829,20.8,56,460,14,31 days ago,-53,6.25,922000000,2
1/5/2024 3:33,24e124725c065829,21,54.5,470,14,31 days ago,-53,9,923200000,2
1/5/2024 3:43,24e124725c065829,21.1,56.5,462,14,31 days ago,-53,10,922800000,2
1/5/2024 3:53,24e124725c065829,21.3,64.5,457,14,31 days ago,-53,9.25,922600000,2
1/5/2024 4:03,24e124725c065829,21.4,54.5,461,14,31 days ago,-54,9.75,922600000,2
1/5/2024 4:13,24e124725c065829,20.9,54,462,14,31 days ago,-53,9.25,922200000,2
1/5/2024 4:23,24e124725c065829,20.5,53,455,14,31 days ago,-54,8.5,922400000,2
1/5/2024 4:33,24e124725c065829,20.3,53.5,458,14,31 days ago,-55,9.25,922400000,2
1/5/2024 4:43,24e124725c065829,20,54,464,14,31 days ago,-55,9,923400000,2
1/5/2024 5:03,24e124725c065829,19.7,55.5,459,14,31 days ago,-54,11,922200000,2
1/5/2024 5:13,24e124725c065829,19.6,55.5,458,14,31 days ago,-54,11,922600000,2
1/5/2024 5:23,24e124725c065829,19.6,57,462,14,31 days ago,-53,8.5,922600000,2
1/5/2024 5:33,24e124725c065829,19.5,56.5,457,14,31 days ago,-54,10,923200000,2
1/5/2024 5:43,24e124725c065829,19.5,57,456,14,31 days ago,-54,10.25,922200000,2
1/5/2024 5:53,24e124725c065829,19.4,56,460,14,31 days ago,-53,9.25,922200000,2
1/5/2024 5:53,24e124725c065829,19.6,56,465,14,31 days ago,-55,10,923200000,2
1/5/2024 6:03,24e124725c065829,19.3,56,463,14,31 days ago,-52,9.25,922200000,2
1/5/2024 6:13,24e124725c065829,19.3,55,468,14,31 days ago,-55,9,922600000,2
1/5/2024 6:23,24e124725c065829,19.2,56.5,477,14,31 days ago,-52,8.75,923200000,2
1/5/2024 6:33,24e124725c065829,19.2,56,464,14,31 days ago,-53,8.25,922400000,2
