Index,Date Created,Device ID,Temperature(°C),Humidity(%),CO2(ppm),Battery,Last Seen,RSSI,loRaSNR,Frequency,DR
1,1/1/2024,24e124725c065829,21.8,44,445,29,31 days ago,-49,12,922800000,2
2,1/1/2024,24e124725c065829,21.8,43.5,450,29,31 days ago,-50,9.75,922200000,2
3,1/1/2024,24e124725c065829,21.8,42.5,453,29,31 days ago,-50,8.25,923400000,2
4,1/1/2024,24e124725c065829,21.7,49.5,453,29,31 days ago,-50,8.25,923400000,2
5,1/1/2024,24e124725c065829,21.9,51.5,437,29,31 days ago,-49,10.25,922200000,2
6,1/1/2024,24e124725c065829,21.9,46,451,29,31 days ago,-49,10.5,922200000,2
7,1/1/2024,24e124725c065829,21.9,43,457,29,31 days ago,-50,7.75,922400000,2
8,1/1/2024,24e124725c065829,21.8,42,448,29,31 days ago,-49,7.75,922000000,2
9,1/1/2024,24e124725c065829,21.8,48,456,29,31 days ago,-49,10.5,923200000,2
10,1/1/2024,24e124725c065829,21.8,49,447,29,31 days ago,-51,9.75,922200000,2
11,1/1/2024,24e124725c065829,21.9,52,438,29,31 days ago,-50,11.5,922200000,2
12,1/1/2024,24e124725c065829,21.9,49.5,452,29,31 days ago,-50,7.5,922000000,2
13,1/1/2024,24e124725c065829,21.9,42.5,452,29,31 days ago,-50,9.25,923200000,2
14,1/1/2024,24e124725c065829,21.9,50,444,29,31 days ago,-51,9.75,923200000,2
15,1/1/2024,24e124725c065829,21.8,48,448,29,31 days ago,-50,10,922200000,2
16,1/1/2024,24e124725c065829,21.9,51.5,447,29,31 days ago,-48,8.75,923200000,2
17,1/1/2024,24e124725c065829,21.9,50.5,442,29,31 days ago,-48,7.5,922000000,2
18,1/1/2024,24e124725c065829,22,47,452,29,31 days ago,-51,7.5,922000000,2
19,1/1/2024,24e124725c065829,21.8,46,451,29,31 days ago,-50,8,923400000,2
20,1/1/2024,24e124725c065829,21.9,44.5,451,29,31 days ago,-51,9.25,923400000,2
21,1/1/2024,24e124725c065829,21.8,43,442,29,31 days ago,-51,7.75,922400000,2
22,1/1/2024,24e124725c065829,21.8,41.5,443,29,31 days ago,-51,7.5,922400000,2
23,1/1/2024,24e124725c065829,22,50,453,29,31 days ago,-53,7.5,922400000,2
24,1/1/2024,24e124725c065829,21.9,50.5,461,29,31 days ago,-51,11.25,922800000,2
25,1/1/2024,24e124725c065829,21.9,52,445,29,31 days ago,-51,9.25,922200000,2
26,1/1/2024,24e124725c065829,22,46,442,29,31 days ago,-48,9.25,923200000,2
27,1/1/2024,24e124725c065829,21.9,44.5,444,29,31 days ago,-51,9.5,922600000,2
28,1/1/2024,24e124725c065829,21.8,43,445,29,31 days ago,-53,9,923400000,2
29,1/1/2024,24e124725c065829,21.9,50,445,29,31 days ago,-49,9.25,922800000,2
