Index,Date Created,Temperature(°C),Humidity(%),CO2(ppm),Battery,RSSI,loRaSNR,Frequency
1,1/1/2024,-2.573899773,0.449567456,-0.623737079,1.35389904,1.472395074,0.138816486,0.092459112
2,2/1/2024,-2.791576825,0.530843446,0.385352483,1.35389904,1.62461766,0.255102358,0.012381684
3,3/1/2024,-1.954315956,0.230283291,0.234583531,1.35389904,1.415006053,0.282483052,-0.2104118
4,4/1/2024,0.795443747,0.028818076,0.474424986,1.35389904,0.577346136,0.231696573,0.0675437
5,5/1/2024,0.686799632,-0.196974529,0.148161984,1.35389904,-0.121582264,0.073868242,0.181704732
6,6/1/2024,0.500268953,-0.27240999,-0.542990217,1.35389904,0.713318988,0.08409073,-0.068154035
7,7/1/2024,0.493509225,-0.35598241,-0.556701328,1.35389904,1.085985324,-0.002660073,-0.103553444
8,8/1/2024,0.515514297,-0.260490612,0.341198153,0.595028549,0.520092529,-0.010483899,0.092524134
9,9/1/2024,0.60497481,-0.074103624,0.517552821,0.524435945,0.032980066,0.064597472,-0.14464931
10,10/1/2024,0.484496254,-0.118122444,0.323433494,0.524435945,0.172784933,0.262771488,-0.068154035
11,11/1/2024,0.455361668,-0.029585642,0.237310839,0.524435945,0.7726479,0.239456247,0.030205163
12,12/1/2024,0.55834549,-0.10091902,0.2143466,0.524435945,0.436171748,0.161978617,-0.019625267
13,13/1/2024,0.443937885,-0.408329971,-0.557970875,0.524435945,-0.020262944,0.269245428,0.114742912
14,14/1/2024,0.548390654,-0.225643343,-0.588892786,0.524435945,-0.344717201,-0.198634853,0.086646178
15,15/1/2024,0.664109635,0.018503982,0.359102151,0.182209913,-0.175675582,-0.006969997,-0.07376513
16,16/1/2024,0.508610745,0.186896375,0.29772021,-0.30502715,-0.067944519,-0.028996614,0.002142664
17,17/1/2024,0.167198713,-0.026811241,0.256316761,-0.30502715,-0.310908877,0.127325787,0.122293136
18,18/1/2024,0.18932146,0.200899201,0.270884816,-0.30502715,-0.856873688,-0.050567232,0.083768429
19,19/1/2024,0.115011721,0.117457633,0.068984847,-0.30502715,-0.841699561,-0.100846661,-0.023265274
20,20/1/2024,-0.096600657,-0.035390241,-0.563972863,-0.30502715,-0.462255076,-0.036930634,0.020218958
21,21/1/2024,-0.147712871,-0.028276594,-0.654839122,-0.30502715,-0.152831155,-0.27263251,0.04020472
22,22/1/2024,-0.022483354,0.151880762,0.268419778,-0.30502715,-0.270385845,-0.209826169,0.02919434
23,23/1/2024,0.020759729,0.211282249,0.513899804,-1.099193943,-0.421109626,-0.188999364,-0.091251522
24,24/1/2024,0.108204722,-0.209921735,0.302425298,-1.134490245,-0.430928427,-0.166038789,0.018322843
25,25/1/2024,-0.248251926,-0.072979625,-0.598106451,-1.134490245,-0.176663642,-0.073052778,0.058153716
26,26/1/2024,-0.3887062,0.097112023,-0.065590717,-1.134490245,-0.650682532,-0.004362312,0.027234583
27,27/1/2024,0.085514726,-0.019412837,-0.671905199,-1.134490245,-0.287243051,-0.121708142,-0.008412375
28,28/1/2024,0.166145249,-0.065276335,-0.678128086,-1.134490245,-0.340986211,-0.289289164,-0.075908191
29,29/1/2024,0.202840916,-0.017100836,0.259532947,-1.134490245,-0.824349317,-0.322472733,-0.159602508
30,30/1/2024,-0.040318881,0.076030479,0.336566455,-1.479126319,-1.255934858,-0.087496048,0.025247223
31,31/1/2024,-0.114157243,0.258952106,0.287766022,-1.963953339,-0.89072163,-0.035654533,-0.044059332
32,1/2/2024,-0.09702987,-0.134649702,0.615481868,1.281890201,0.461195725,-0.057706147,-0.146513073
33,2/2/2024,-0.22349564,-0.098114287,0.412608328,1.281890201,0.328349624,-0.018562536,-0.131947344
34,3/2/2024,-0.663103873,0.141987838,-0.370555576,1.281890201,-0.015450083,0.188073593,-0.002927808
35,4/2/2024,-0.47374744,0.106833607,-0.365602051,1.281890201,0.025621189,-0.06545332,-0.082707088
36,5/2/2024,0.182159918,0.024134373,0.535635201,1.281890201,0.202383053,-0.115193333,-0.027989654
37,6/2/2024,0.057352774,-0.170601018,0.533095872,1.281890201,0.022516873,0.086578088,-0.123207907
38,7/2/2024,0.517866531,-0.281470002,0.739251477,1.281890201,-0.286937066,-0.057478107,0.107240523
39,8/2/2024,0.889835502,-0.290650127,0.837563453,0.842333221,0.11662615,0.002407255,-0.088250157
40,9/2/2024,0.502871862,-0.22917784,0.183209393,0.357527729,0.329733438,0.056928713,0.07488601
41,10/2/2024,-0.346013109,-0.054418381,-0.516382662,0.357527729,0.461243774,0.144176638,-0.019062943
42,11/2/2024,-0.562899503,0.008592323,-0.80938919,0.357527729,0.570516996,0.136613921,-0.012508365
43,12/2/2024,-0.636400977,0.088042354,-0.640358396,0.357527729,1.227828435,-0.222668507,-0.009595219
44,13/2/2024,-0.22349564,0.121098206,0.139122356,0.357527729,0.451509031,0.136613921,0.063233426
45,14/2/2024,-0.076590275,-0.018136684,-0.194111814,0.357527729,0.124563858,0.138623526,0.15161908
46,15/2/2024,0.380891844,0.094032173,-0.148623302,0.357527729,-0.778562839,-0.436480496,-0.096427773
47,16/2/2024,0.58778115,0.148588425,-0.07384281,-0.16117927,-0.65798091,-0.162233266,-0.033298586
48,17/2/2024,-0.4454813,0.266165928,-0.648996934,-0.566834743,-0.465122235,-0.114505805,0.267657141
49,18/2/2024,-0.42955773,0.292854132,-0.692400745,-0.566834743,-0.195383106,0.086650603,0.041323632
50,19/2/2024,0.100520353,0.262902495,0.308369114,-0.566834743,0.065473098,-0.159856215,0.03879537
51,20/2/2024,1.265766131,0.13276467,0.084255413,-0.566834743,-0.699586979,-0.004444136,-0.096937105
52,21/2/2024,0.521336685,-0.144584456,0.243273485,-0.566834743,-0.414863234,-0.130999184,-0.025527113
53,22/2/2024,0.508276383,0.066585046,0.33486148,-0.566834743,-0.52546334,0.080694477,0.089451739
54,23/2/2024,-0.280193273,-0.009155095,0.165411624,-0.566834743,-0.834279491,-0.000765479,0.095422655
55,24/2/2024,-0.475346278,0.078183591,-0.239550527,-1.1809217,-0.461807916,0.138011907,0.077799155
56,25/2/2024,-0.39535938,0.008012396,-0.618406344,-1.491197215,-0.446585967,-0.170943021,0.02536253
57,26/2/2024,-0.182628269,0.021428869,-0.029022312,-1.491197215,0.277246665,-0.138293601,0.027469913
58,27/2/2024,-0.128113367,0.109713107,-0.040969579,-1.491197215,0.653632298,0.18166014,0.033009538
59,28/2/2024,0.070465216,-0.189754871,-0.027163161,-1.491197215,0.224880731,0.083092412,-0.021955859
60,29/2/2024,0.101256845,-0.164242923,-0.065170589,-1.491197215,-0.207873078,0.358873303,-0.080637703
61,1/3/2024,0.487781481,0.151108628,0.189777946,1.825055696,-0.0008418,0.17442911,0.02107647
62,2/3/2024,-0.590488916,0.104720855,-0.49339106,1.825055696,-0.873676029,0.057862661,-0.036507727
63,3/3/2024,-0.786488584,0.251897116,-0.611659999,1.196638073,-0.655276076,-0.063402458,-0.052649195
64,4/3/2024,0.064127505,0.135469819,0.286590896,0.98321322,0.108474311,-0.099595065,-0.016779266
65,5/3/2024,0.087205901,0.0730551,0.646330128,0.98321322,-0.436798268,-0.24440443,0.101219423
66,6/3/2024,0.036831756,0.079694052,0.206865662,0.98321322,-0.895084606,-0.115409997,-0.01823233
67,7/3/2024,0.042573525,-0.027299435,0.409356914,0.98321322,0.035272937,-0.04120796,-0.005637848
68,8/3/2024,0.261892937,0.052138607,0.550848813,0.98321322,0.682585998,0.024295013,0.025068985
69,9/3/2024,-0.745187921,0.164019738,-0.631679319,0.98321322,1.038746699,0.001642996,-0.035320424
70,10/3/2024,-0.735889509,0.107191293,-0.499336543,0.98321322,0.281089614,0.24722966,-0.015284685
71,11/3/2024,0.407969677,0.06514064,0.458744664,0.289582448,-0.508500917,-0.30979059,-0.115421571
72,12/3/2024,0.087724517,-0.070789707,0.371537668,0.141370744,-0.537076612,-0.234621329,0.075884718
73,13/3/2024,-0.419689268,-0.287465635,0.198321804,0.141370744,0.141127094,0.0712758,-0.077185223
74,14/3/2024,0.375993318,-0.081706349,0.260081692,0.141370744,-0.338790979,0.028212564,0.087798659
75,15/3/2024,0.260383009,-0.031109497,0.14004712,0.141370744,0.132321216,-0.04145634,0.123991524
76,16/3/2024,-0.072354845,0.040190457,-0.427250177,0.141370744,-0.401973343,0.160606221,0.080441621
77,17/3/2024,-0.495246612,0.171062162,-0.671143682,0.141370744,-0.205921914,-0.009415315,0.0329495
78,18/3/2024,0.098961189,-0.108613804,0.297892019,0.141370744,-0.298079892,-0.096811018,-0.058627517
79,19/3/2024,0.479796717,-0.191081567,0.352150766,-0.604943508,0.743892009,0.158018106,-0.010016555
80,20/3/2024,-0.487280973,-0.430832751,0.324622313,-0.700471732,0.631694561,0.257961597,0.120306968
81,21/3/2024,0.663042137,-0.104476793,0.29525509,-0.700471732,0.029241703,-0.066186505,0.019090664
82,22/3/2024,0.221783596,-0.161321917,0.05832425,-0.700471732,0.152627537,0.017828521,-0.022057996
83,23/3/2024,0.009130237,0.104171364,-0.492987748,-0.700471732,0.40626408,0.179718285,0.014191761
84,24/3/2024,-0.125913697,0.057796516,-0.424818723,-0.700471732,0.983284782,0.381772448,-0.082812545
85,25/3/2024,-0.127631561,-0.038378164,0.369880441,-0.700471732,-0.164527299,-0.050844204,0.012961809
86,26/3/2024,0.486279831,-0.028198935,0.338005723,-0.700471732,-0.194265388,0.034559558,0.025376282
87,27/3/2024,0.605735108,-0.075517719,0.3191758,-1.400030973,0.265640633,-0.208172886,-0.028735909
88,28/3/2024,0.055138167,0.038545572,-0.483392258,-1.542314208,-0.211053912,-0.279166076,0.040014789
89,29/3/2024,-0.027435767,-0.201212248,-0.077310484,-1.542314208,-0.016418072,0.03009511,-0.027075264
90,30/3/2024,0.01356248,0.069533889,-0.579122513,-1.542314208,0.239063238,0.027906486,-0.106558605
91,31/3/2024,-0.021027612,0.171062162,-0.599883386,-1.542314208,-0.173676613,0.020995041,-0.053129969
92,1/4/2024,0.416059768,0.018691331,0.108237156,1.494529736,-0.262235874,0.127108074,0.036392586
93,2/4/2024,-0.223948669,-0.246739596,0.233551783,1.268183705,-0.290354069,0.073890851,-0.063454814
94,3/4/2024,-0.022600233,-0.203765065,0.232391528,1.268183705,-0.375091212,0.134676443,0.0771706
95,4/4/2024,0.116548865,-0.221165831,0.37570302,1.268183705,-0.189182877,0.147945048,-0.012771272
96,5/4/2024,-0.356132902,-0.183658789,-0.007361227,1.268183705,-0.560377998,0.007071018,0.171480245
97,6/4/2024,-0.383459652,-0.18482663,-0.498495333,1.268183705,-0.547748076,-0.057844753,-0.06220516
98,7/4/2024,-0.912919312,0.713256961,-0.290876227,1.268183705,-0.453067015,0.069896187,0.05248053
99,8/4/2024,0.616016682,-0.134797924,-0.017752133,1.268183705,-0.393219552,0.033034251,-0.128362055
100,9/4/2024,0.49733217,-0.21621607,-0.272813108,0.432444515,-0.326262585,-0.039497599,-0.009814047
101,10/4/2024,-0.220002871,0.130926013,-0.538765,0.362799583,-0.399702602,0.036901301,-0.072264879
102,11/4/2024,-0.097683133,0.253810701,-0.667567509,0.362799583,-0.52913556,0.042867357,-0.060518126
103,12/4/2024,0.247670768,-0.15929382,-0.319476164,0.362799583,-0.37345396,0.075851722,0.105517709
104,13/4/2024,0.249657464,0.164090557,-0.778831301,0.362799583,-0.133002668,0.008564618,-0.036429068
105,14/4/2024,-0.213056043,0.340614599,-0.481874623,0.362799583,0.479171697,-0.223454042,0.095209075
106,15/4/2024,0.550743006,-0.114843364,-0.1879837,0.362799583,0.07786038,-0.163558196,-0.007657738
107,16/4/2024,0.405156027,-0.133754913,0.415009383,0.362799583,0.028827982,0.18674175,0.035648074
108,17/4/2024,0.698650647,0.016422691,0.075152799,-0.529921824,-0.110530585,0.127518606,-0.015728496
109,18/4/2024,-0.086939951,-0.091099426,0.644294929,-0.542584539,-0.172829243,-0.066456867,-0.015579392
110,19/4/2024,-0.015287414,0.058865916,0.331999123,-0.542584539,0.56579065,-0.149690638,-0.035614085
111,20/4/2024,-0.563843043,0.674584028,-0.414924127,-0.542584539,0.29360293,0.046379768,0.038626124
112,21/4/2024,-0.345768235,0.756830231,-0.365153381,-0.542584539,0.427121921,-0.050421599,-0.077517828
113,22/4/2024,-0.280128003,-0.005026273,0.438673058,-0.542584539,0.702958831,-0.085156705,0.016800974
114,23/4/2024,0.162406088,-0.010800994,0.545626011,-0.542584539,0.875202602,-0.096402248,0.035648074
115,24/4/2024,0.275025673,0.043970467,0.377430484,-0.717194334,0.21711239,0.024219169,-0.013447209
116,25/4/2024,0.291378069,-0.052873962,0.278362881,-1.447968662,-0.070080835,0.078254833,-0.006856823
117,26/4/2024,-0.143046013,-0.080922607,0.166221021,-1.447968662,0.217561831,0.078254833,-0.054172415
118,27/4/2024,-0.335764804,0.029906722,-0.10215162,-1.447968662,0.207607648,0.097200485,-0.012000727
119,28/4/2024,-0.692840999,0.290676108,-0.212149742,-1.447968662,0.269778214,-0.017986419,0.039329274
120,29/4/2024,-0.379462778,-0.311911447,0.605506027,-1.447968662,0.527676581,-0.205312248,-0.131060252
121,30/4/2024,0.808723038,-1.146676834,0.502994245,-1.447968662,0.276791823,-0.247014803,0.11039713
122,1/5/2024,-0.683561861,1.031353556,-0.374635987,1.928247628,0.4049167,0.358888121,0.093169151
123,2/5/2024,-1.052686711,1.195063625,0.633873072,1.629632851,0.453935087,0.04700473,-0.002192789
124,3/5/2024,-0.377634179,1.113290018,0.307885343,1.074209366,0.396034022,0.231082581,-0.083888145
125,4/5/2024,-0.848465039,1.540292902,-0.654008615,1.074209366,0.324024116,0.183475762,0.098972323
126,5/5/2024,-0.988628473,2.028841959,-0.24630976,1.074209366,0.357906486,0.121661683,-0.00308129
127,6/5/2024,-0.710901277,1.318930851,0.461817377,1.074209366,0.350487897,0.229609895,0.006627278
128,7/5/2024,-0.156614253,1.39911398,0.86262723,1.074209366,0.45425484,0.038067861,0.073743033
129,8/5/2024,0.534411643,0.304407066,0.469306608,1.074209366,0.180366993,0.041938937,0.049646997
130,9/5/2024,0.762118334,-0.033225802,0.48959414,1.074209366,-0.113397636,-0.019317641,-0.043849012
131,10/5/2024,0.098584915,-0.154358882,0.280638446,0.602398018,-0.233441951,-0.13920808,-0.002192789
132,11/5/2024,-0.096226619,-0.082276345,-0.241215846,0.220171103,0.021560073,-0.239923086,-0.165349748
133,12/5/2024,0.270639803,0.178757087,-0.603352689,0.220171103,-0.189041999,-0.211907602,-0.103357901
134,13/5/2024,0.521357991,-0.23360176,0.440619454,0.220171103,-0.178501391,-0.251728206,-0.056897068
