Date Created,Timestamp,Device ID,Radiation(uSv/h),Last Seen
1/5/2024 0:01,1714492872,rad_001,12449.18,31 days ago
1/5/2024 0:04,1714493088,rad_001,0,31 days ago
1/5/2024 0:08,1714493303,rad_001,7329.29,31 days ago
1/5/2024 0:11,1714493519,rad_001,0,31 days ago
1/5/2024 0:15,1714493734,rad_001,536870.91,31 days ago
1/5/2024 0:19,1714493949,rad_001,9236.48,31 days ago
1/5/2024 0:22,1714494165,rad_001,0,31 days ago
1/5/2024 0:26,1714494380,rad_001,17318.41,31 days ago
1/5/2024 0:29,1714494596,rad_001,0,31 days ago
1/5/2024 0:33,1714494811,rad_001,0,31 days ago
1/5/2024 0:37,1714495027,rad_001,41297.76,31 days ago
1/5/2024 0:40,1714495242,rad_001,0,31 days ago
1/5/2024 0:44,1714495457,rad_001,0,31 days ago
1/5/2024 0:47,1714495673,rad_001,39768.21,31 days ago
1/5/2024 0:51,1714495889,rad_001,11392.48,31 days ago
1/5/2024 0:55,1714496104,rad_001,7642.29,31 days ago
1/5/2024 0:58,1714496320,rad_001,0,31 days ago
1/5/2024 1:02,1714496536,rad_001,24403.22,31 days ago
1/5/2024 1:05,1714496749,rad_001,0,31 days ago
1/5/2024 1:09,1714496964,rad_001,0,31 days ago
1/5/2024 1:13,1714497180,rad_001,39768.21,31 days ago
1/5/2024 1:16,1714497395,rad_001,0,31 days ago
1/5/2024 1:20,1714497611,rad_001,178956.97,31 days ago
1/5/2024 1:23,1714497826,rad_001,21913.09,31 days ago
1/5/2024 1:27,1714498041,rad_001,32537.63,31 days ago
1/5/2024 1:30,1714498254,rad_001,0,31 days ago
1/5/2024 1:34,1714498469,rad_001,41297.76,31 days ago
1/5/2024 1:38,1714498685,rad_001,15790.32,31 days ago
1/5/2024 1:41,1714498900,rad_001,0,31 days ago
1/5/2024 1:45,1714499116,rad_001,0,31 days ago
1/5/2024 1:48,1714499331,rad_001,0,31 days ago
1/5/2024 1:52,1714499547,rad_001,0,31 days ago
1/5/2024 1:56,1714499762,rad_001,10034.97,31 days ago
1/5/2024 1:59,1714499978,rad_001,8783.16,31 days ago
1/5/2024 2:03,1714500193,rad_001,82595.52,31 days ago
1/5/2024 2:06,1714500408,rad_001,34087.04,31 days ago
1/5/2024 2:10,1714500622,rad_001,82595.52,31 days ago
1/5/2024 2:13,1714500837,rad_001,9629.97,31 days ago
1/5/2024 2:17,1714501053,rad_001,19346.7,31 days ago
1/5/2024 2:21,1714501269,rad_001,41297.76,31 days ago
1/5/2024 2:24,1714501484,rad_001,0,31 days ago
1/5/2024 2:28,1714501700,rad_001,2986.76,31 days ago
1/5/2024 2:31,1714501916,rad_001,0,31 days ago
1/5/2024 2:35,1714502132,rad_001,21262.21,31 days ago
1/5/2024 2:39,1714502347,rad_001,9761.28,31 days ago
1/5/2024 2:42,1714502563,rad_001,0,31 days ago
1/5/2024 2:46,1714502779,rad_001,0,31 days ago
1/5/2024 2:49,1714502994,rad_001,14364.43,31 days ago
1/5/2024 2:53,1714503210,rad_001,0,31 days ago
1/5/2024 2:57,1714503425,rad_001,29020.04,31 days ago
1/5/2024 3:00,1714503641,rad_001,5851.45,31 days ago
1/5/2024 3:04,1714503869,rad_001,17134.17,31 days ago
1/5/2024 3:08,1714504085,rad_001,6547.2,31 days ago
1/5/2024 3:11,1714504300,rad_001,21913.09,31 days ago
1/5/2024 3:15,1714504515,rad_001,13463.84,31 days ago
1/5/2024 3:18,1714504731,rad_001,21474.83,31 days ago
1/5/2024 3:22,1714504947,rad_001,29826.16,31 days ago
1/5/2024 3:26,1714505162,rad_001,9942.05,31 days ago
1/5/2024 3:29,1714505378,rad_001,0,31 days ago
1/5/2024 3:33,1714505593,rad_001,3234.16,31 days ago
1/5/2024 3:36,1714505809,rad_001,41297.76,31 days ago
1/5/2024 3:40,1714506024,rad_001,0,31 days ago
1/5/2024 3:43,1714506239,rad_001,10082.08,31 days ago
1/5/2024 3:47,1714506455,rad_001,20648.88,31 days ago
1/5/2024 3:51,1714506671,rad_001,178956.97,31 days ago
1/5/2024 3:54,1714506887,rad_001,0,31 days ago
1/5/2024 3:58,1714507102,rad_001,12936.64,31 days ago
1/5/2024 4:01,1714507318,rad_001,9048.38,31 days ago
1/5/2024 4:05,1714507534,rad_001,15790.32,31 days ago
1/5/2024 4:09,1714507749,rad_001,5981.84,31 days ago
1/5/2024 4:12,1714507965,rad_001,22253.71,31 days ago
1/5/2024 4:16,1714508180,rad_001,25718.36,31 days ago
1/5/2024 4:19,1714508396,rad_001,0,31 days ago
1/5/2024 4:23,1714508612,rad_001,29826.16,31 days ago
1/5/2024 4:27,1714508827,rad_001,28633.11,31 days ago
1/5/2024 4:30,1714509043,rad_001,8641.78,31 days ago
1/5/2024 4:34,1714509258,rad_001,23342.21,31 days ago
1/5/2024 4:37,1714509474,rad_001,0,31 days ago
1/5/2024 4:41,1714509690,rad_001,7329.29,31 days ago
1/5/2024 4:45,1714509905,rad_001,20259.28,31 days ago
1/5/2024 4:48,1714510121,rad_001,22063.18,31 days ago
1/5/2024 4:52,1714510336,rad_001,0,31 days ago
1/5/2024 4:55,1714510552,rad_001,14913.08,31 days ago
1/5/2024 4:59,1714510767,rad_001,41297.76,31 days ago
1/5/2024 5:03,1714510983,rad_001,15123.12,31 days ago
1/5/2024 5:06,1714511198,rad_001,11243.37,31 days ago
1/5/2024 5:10,1714511414,rad_001,0,31 days ago
1/5/2024 5:13,1714511629,rad_001,0,31 days ago
1/5/2024 5:17,1714511845,rad_001,9695.18,31 days ago
1/5/2024 5:21,1714512060,rad_001,0,31 days ago
1/5/2024 5:24,1714512276,rad_001,10424.67,31 days ago
1/5/2024 5:28,1714512492,rad_001,0,31 days ago
1/5/2024 5:31,1714512707,rad_001,82595.52,31 days ago
1/5/2024 5:35,1714512923,rad_001,0,31 days ago
1/5/2024 5:38,1714513138,rad_001,7588.28,31 days ago
1/5/2024 5:42,1714513354,rad_001,17602.32,31 days ago
1/5/2024 5:46,1714513569,rad_001,15394.14,31 days ago
1/5/2024 5:49,1714513785,rad_001,12201.61,31 days ago
1/5/2024 5:53,1714514000,rad_001,15339.16,31 days ago
1/5/2024 5:56,1714514216,rad_001,41297.76,31 days ago
1/5/2024 6:00,1714514431,rad_001,23342.21,31 days ago
1/5/2024 6:04,1714514647,rad_001,97612.89,31 days ago
1/5/2024 6:07,1714514862,rad_001,15966.42,31 days ago
1/5/2024 6:11,1714515077,rad_001,0,31 days ago
1/5/2024 6:14,1714515293,rad_001,0,31 days ago
1/5/2024 6:18,1714515508,rad_001,0,31 days ago
1/5/2024 6:22,1714515724,rad_001,12988.81,31 days ago
1/5/2024 6:25,1714515940,rad_001,25565.28,31 days ago
1/5/2024 6:29,1714516155,rad_001,0,31 days ago
1/5/2024 6:32,1714516371,rad_001,0,31 days ago
1/5/2024 6:36,1714516586,rad_001,0,31 days ago
1/5/2024 6:40,1714516802,rad_001,20648.88,31 days ago
1/5/2024 6:43,1714517017,rad_001,41297.76,31 days ago
1/5/2024 6:47,1714517233,rad_001,14221.74,31 days ago
1/5/2024 6:50,1714517448,rad_001,15505.29,31 days ago
1/5/2024 6:54,1714517664,rad_001,0,31 days ago
1/5/2024 6:58,1714517880,rad_001,41297.76,31 days ago
1/5/2024 7:01,1714518095,rad_001,0,31 days ago
1/5/2024 7:05,1714518311,rad_001,7909.7,31 days ago
1/5/2024 7:08,1714518527,rad_001,0,31 days ago
1/5/2024 7:12,1714518742,rad_001,12732.11,31 days ago
1/5/2024 7:15,1714518958,rad_001,6742.49,31 days ago
1/5/2024 7:19,1714519173,rad_001,0,31 days ago
1/5/2024 7:23,1714519389,rad_001,41297.76,31 days ago
1/5/2024 7:26,1714519605,rad_001,536870.91,31 days ago
1/5/2024 7:30,1714519820,rad_001,22369.62,31 days ago
1/5/2024 7:33,1714520036,rad_001,0,31 days ago
1/5/2024 7:37,1714520251,rad_001,0,31 days ago
1/5/2024 7:41,1714520467,rad_001,10984.57,31 days ago
1/5/2024 7:44,1714520682,rad_001,0,31 days ago
1/5/2024 7:48,1714520898,rad_001,15505.29,31 days ago
1/5/2024 7:51,1714521113,rad_001,17970.57,31 days ago
1/5/2024 7:55,1714521329,rad_001,28256.36,31 days ago
1/5/2024 7:59,1714521545,rad_001,18276.45,31 days ago
1/5/2024 8:02,1714521760,rad_001,8747.38,31 days ago
1/5/2024 8:06,1714521976,rad_001,7738.68,31 days ago
1/5/2024 8:09,1714522191,rad_001,20355.29,31 days ago
1/5/2024 8:13,1714522407,rad_001,0,31 days ago
1/5/2024 8:17,1714522622,rad_001,0,31 days ago
1/5/2024 8:20,1714522838,rad_001,10737.41,31 days ago
1/5/2024 8:24,1714523053,rad_001,82595.52,31 days ago
1/5/2024 8:27,1714523269,rad_001,19884.1,31 days ago
1/5/2024 8:31,1714523484,rad_001,0,31 days ago
1/5/2024 8:35,1714523700,rad_001,0,31 days ago
1/5/2024 8:38,1714523915,rad_001,11184.81,31 days ago
1/5/2024 8:42,1714524131,rad_001,0,31 days ago
1/5/2024 8:45,1714524346,rad_001,20648.88,31 days ago
1/5/2024 8:49,1714524561,rad_001,12632.25,31 days ago
1/5/2024 8:52,1714524777,rad_001,9256.39,31 days ago
