Index,Date Created,Radiation(uSv/h)
1,1/1/2024,28132.40683
2,2/1/2024,36822.60858
3,3/1/2024,26370.32635
4,4/1/2024,28278.22262
5,5/1/2024,32220.27818
6,6/1/2024,27168.71768
7,7/1/2024,26735.01713
8,8/1/2024,23953.76776
9,9/1/2024,31212.85245
10,10/1/2024,31747.64983
11,11/1/2024,25431.17763
12,12/1/2024,22795.78546
13,13/1/2024,24604.28281
14,14/1/2024,30863.90708
15,15/1/2024,32940.90454
16,16/1/2024,32492.23481
17,17/1/2024,32886.32603
18,18/1/2024,24596.84008
19,19/1/2024,29739.38435
20,20/1/2024,27497.68813
21,21/1/2024,22995.33373
22,22/1/2024,32822.54451
23,23/1/2024,31722.35455
24,24/1/2024,39409.23598
25,25/1/2024,28151.75963
26,26/1/2024,32227.2086
27,27/1/2024,31549.01192
28,28/1/2024,32531.44485
29,29/1/2024,30322.96248
30,30/1/2024,30876.19825
31,31/1/2024,28546.88825
32,1/2/2024,29403.20274
33,2/2/2024,42294.74311
34,3/2/2024,22626.63533
35,4/2/2024,27411.90635
36,5/2/2024,36261.66442
37,6/2/2024,30905.76215
38,7/2/2024,32821.65499
39,8/2/2024,52320.04479
40,9/2/2024,40919.4765
41,10/2/2024,31172.46738
42,11/2/2024,38903.31055
43,12/2/2024,37146.79533
44,13/2/2024,32262.31466
45,14/2/2024,36974.30663
46,15/2/2024,30319.69604
47,16/2/2024,36351.58077
48,17/2/2024,22878.99874
49,18/2/2024,26298.7428
50,19/2/2024,28558.87148
51,20/2/2024,38843.00484
52,21/2/2024,24822.86775
53,22/2/2024,29284.99893
54,23/2/2024,29073.9663
55,24/2/2024,23508.54718
56,25/2/2024,32602.77635
57,26/2/2024,26281.51529
58,27/2/2024,32816.06973
59,28/2/2024,31990.97883
60,29/2/2024,35286.86581
61,1/3/2024,32796.07338
62,2/3/2024,38395.8963
63,3/3/2024,29193.07
64,4/3/2024,31447.66093
65,5/3/2024,29657.40425
66,6/3/2024,28384.3503
67,7/3/2024,28101.10638
68,8/3/2024,32490.95367
69,9/3/2024,23942.41051
70,10/3/2024,25877.63491
71,11/3/2024,35633.16508
72,12/3/2024,31394.30108
73,13/3/2024,31973.7651
74,14/3/2024,32622.98516
75,15/3/2024,34253.74768
76,16/3/2024,36235.3226
77,17/3/2024,29775.90197
78,18/3/2024,36193.44393
79,19/3/2024,40199.05369
80,20/3/2024,26750.34943
81,21/3/2024,31470.9828
82,22/3/2024,29715.00778
83,23/3/2024,30540.60292
84,24/3/2024,32649.19334
85,25/3/2024,26429.61845
86,26/3/2024,41077.98557
87,27/3/2024,31815.08102
88,28/3/2024,29485.09905
89,29/3/2024,26360.28113
90,30/3/2024,39054.71711
91,31/3/2024,28614.35599
92,1/4/2024,40243.54496
93,2/4/2024,22623.2207
94,3/4/2024,34056.09615
95,4/4/2024,36149.92717
96,5/4/2024,31989.75279
97,6/4/2024,30260.95471
98,7/4/2024,32609.11617
99,8/4/2024,30266.51945
100,9/4/2024,33713.89321
101,10/4/2024,30389.28726
102,11/4/2024,24024.23658
103,12/4/2024,31931.0604
104,13/4/2024,25441.63513
105,14/4/2024,39174.00374
106,15/4/2024,27424.50509
107,16/4/2024,28312.93614
108,17/4/2024,39484.5173
109,18/4/2024,32216.08177
110,19/4/2024,39070.41848
111,20/4/2024,40114.01611
112,21/4/2024,25215.24455
113,22/4/2024,34696.73638
114,23/4/2024,26227.5769
115,24/4/2024,29065.72945
116,25/4/2024,35133.35809
117,26/4/2024,35324.12821
118,27/4/2024,36834.3366
119,28/4/2024,31686.82209
120,29/4/2024,30616.18055
121,30/4/2024,46852.0874
122,1/5/2024,24620.43835
123,2/5/2024,37069.64605
124,3/5/2024,39150.86125
125,4/5/2024,35266.77823
126,5/5/2024,32433.32698
127,6/5/2024,33845.2287
128,7/5/2024,31173.41479
129,8/5/2024,27508.70399
130,9/5/2024,46783.1897
131,10/5/2024,29428.33448
132,11/5/2024,32727.89063
133,12/5/2024,22908.28905
134,13/5/2024,35568.7435
135,14/5/2024,35163.23576
136,15/5/2024,44122.77825
137,16/5/2024,35858.86905
138,17/5/2024,30955.54118
139,18/5/2024,29600.24328
140,19/5/2024,27646.81651
141,20/5/2024,35508.71027
142,21/5/2024,39911.34038
143,22/5/2024,27286.74534
144,23/5/2024,32959.92436
145,24/5/2024,30768.86263
146,25/5/2024,28656.12214
147,26/5/2024,30986.84788
148,27/5/2024,40940.53756
149,28/5/2024,46672.17093
150,29/5/2024,40390.52905
151,30/5/2024,37806.41389
152,31/5/2024,40411.3697
