File,Issue,Date,Details
2010875,Software,1/4/2020,"1) Hang issue
2) System recovered"
,,2/4/2020,"No maintenance has been done, Please do soon"
2010876,Software,3/4/2020,"1) No hang issue
2) System hang once
3) No abnormalities
4) Further do test"
,,4/4/2020,"No maintenance has been done, Please do soon"
,,5/4/2020,"No maintenance has been done, Please do soon"
,,6/4/2020,"No maintenance has been done, Please do soon"
,,7/4/2020,"No maintenance has been done, Please do soon"
2010879,,8/4/2020,"1) Checked mounting bolts. All ok. 
2) Checked AC and DC voltages. All within range. ok. 
3) Checked and cleaned slit section. ok. 
4) Checked and cleaned large current slip ring. ok. 
5) Cleaned all fans and filters. ok. 
6) General cleaning on gantry, couch, console box. ok. 
7) Performed IF adjustment. ok. 
8) Performed NRA calibration for all for. ok. 
9) Image quality checked. All ok. 
10) System is in good working condition. ok. 
11) EST done, All pass. ok."
,,9/4/2020,"No maintenance has been done, Please do soon"
,,10/4/2020,"No maintenance has been done, Please do soon"
,,11/4/2020,"No maintenance has been done, Please do soon"
,,12/4/2020,"No maintenance has been done, Please do soon"
,,13/4/2020,"No maintenance has been done, Please do soon"
,,14/4/2020,"No maintenance has been done, Please do soon"
,,15/4/2020,"No maintenance has been done, Please do soon"
,,16/4/2020,"No maintenance has been done, Please do soon"
,,17/4/2020,"No maintenance has been done, Please do soon"
,,18/4/2020,"No maintenance has been done, Please do soon"
,,19/4/2020,"No maintenance has been done, Please do soon"
,,20/4/2020,"No maintenance has been done, Please do soon"
,,21/4/2020,"No maintenance has been done, Please do soon"
,,22/4/2020,"No maintenance has been done, Please do soon"
,,23/4/2020,"No maintenance has been done, Please do soon"
,,24/4/2020,"No maintenance has been done, Please do soon"
,,25/4/2020,"No maintenance has been done, Please do soon"
,,26/4/2020,"No maintenance has been done, Please do soon"
,,27/4/2020,"No maintenance has been done, Please do soon"
,,28/4/2020,"No maintenance has been done, Please do soon"
,,29/4/2020,"No maintenance has been done, Please do soon"
,,30/4/2020,"No maintenance has been done, Please do soon"
,,1/5/2020,"No maintenance has been done, Please do soon"
,,2/5/2020,"No maintenance has been done, Please do soon"
,,3/5/2020,"No maintenance has been done, Please do soon"
,,4/5/2020,"No maintenance has been done, Please do soon"
,,5/5/2020,"No maintenance has been done, Please do soon"
,,6/5/2020,"No maintenance has been done, Please do soon"
,,7/5/2020,"No maintenance has been done, Please do soon"
2014762,Mechanical,8/5/2020,"1) Checked physical. Found that the table cannot move horizontally - OK 
2) Found that the table hands free holder is touching the base of the couch cover - OK  
3) Readjust the clearance. Table can move in and out without stuck and no more error in table movement - OK  "
,,9/5/2020,"No maintenance has been done, Please do soon"
,,10/5/2020,"No maintenance has been done, Please do soon"
,,11/5/2020,"No maintenance has been done, Please do soon"
,,12/5/2020,"No maintenance has been done, Please do soon"
,,13/5/2020,"No maintenance has been done, Please do soon"
,,14/5/2020,"No maintenance has been done, Please do soon"
,,15/5/2020,"No maintenance has been done, Please do soon"
,,16/5/2020,"No maintenance has been done, Please do soon"
